event_id,timestamp,user_id,username,command,device,privilege_used
CMD017533,2026-06-01 12:24:00,U1043,thomas.williams91,dir,WKSTN-U1043,USER
CMD007829,2026-06-01 13:11:00,U1020,andrew.thomas36,df -h,WKSTN-U1020,USER
CMD009179,2026-06-01 12:33:00,U1023,richard.wright,git pull,WKSTN-U1023,USER
CMD037258,2026-06-01 14:30:00,U1091,LINDA.ROBINSON,dir,WKSTN-U1091,USER
CMD010964,2026-06-01 14:52:00,U1027,patricia.brown75,whoami,WKSTN-U1027,USER
CMD010521,2026-06-01 13:44:00,U1026,elizabeth.gonzalez,cat readme.txt,WKSTN-U1026,USER
CMD019918,2026-06-01 14:08:00,U1049,  michelle.jones59 ,ls -la,WKSTN-U1049,USER
CMD007828,2026-06-01 14:40:00,U1020,andrew.thomas36,ls -la,,USER
CMD033208,2026-06-01 14:48:00,U1082,karen.hill96,whoami,WKSTN-U1082,USER
CMD034088,2026-06-01 14:30:00,U1084,joshua.taylor,ping 10.0.0.5,WKSTN-U1084,USER
CMD032779,2026-06-01 14:20:00,U1081,margaret.davis,clear,WKSTN-U1081,USER
CMD009180,2026-06-01 14:32:00,U1023,RICHARD.WRIGHT,ping 10.0.0.5,WKSTN-U1023,USER
CMD037259,2026-06-01 14:48:00,U1091,linda.robinson,git status,WKSTN-U1091,USER
CMD005582,2026-06-01 14:26:00,U1015,lisa.hernandez,git status,WKSTN-U1015,USER
CMD010520,2026-06-01 14:33:00,U1026,elizabeth.gonzalez,systeminfo,WKSTN-U1026,USER
CMD005986,2026-06-01 14:35:00,U1016,patricia.thomas,ls -la,WKSTN-U1016,user
CMD038153,2026-06-01 14:56:00,U1093,sarah.clark44,ls -la,WKSTN-U1093,USER
CMD005581,2026-06-01 13:47:00,U1015,lisa.hernandez,whoami,WKSTN-U1015,USER
CMD035879,2026-06-01 14:40:00,U1088,andrew.smith85,ls -la,WKSTN-U1088,USER
CMD009630,2026-06-01 13:37:00,U1024,emily.miller,systeminfo,WKSTN-U1024,USER
CMD002037,2026-06-01 14:21:00,U1006,george.gonzalez,ping 10.0.0.5,WKSTN-U1006,USER
CMD032338,2026-06-01 14:40:00,U1080,joseph.jackson91,top,WKSTN-U1080,USER
CMD038595,2026-06-01 15:01:00,U1094,elizabeth.lewis69,cat readme.txt,WKSTN-U1094,USER
CMD035878,2026-06-01 14:32:00,U1088,andrew.smith85,systeminfo,WKSTN-U1088,USER
CMD031919,2026-06-01 13:54:00,U1079,emily.jones,git pull,WKSTN-U1079,USER
CMD039416,2026-06-01 14:22:00,U1096,david.allen76,ls -la,WKSTN-U1096,USER
CMD007827,2026-06-01 14:39:00,U1020,andrew.thomas36,whoami,WKSTN-U1020,USER
CMD026749,2026-06-01 15:05:00,U1066,michelle.wright62,dir,WKSTN-U1066,USER
CMD011442,2026-06-01 16:43:00,U1028,john.hill,ipconfig,WKSTN-U1028,USER
CMD006435,2026-06-01 15:43:00,U1017,emily.hernandez34,ipconfig,WKSTN-U1017,USER
CMD023892,2026-06-01 16:10:00,U1059,daniel.perez98,whoami,WKSTN-U1059,USER
CMD031918,2026-06-01 16:08:00,U1079,emily.jones,cd project/,WKSTN-U1079,USER
CMD002035,2026-06-01 15:32:00,U1006,george.gonzalez,ls -la,WKSTN-U1006,USER
CMD005580,2026-06-01 16:21:00,U1015,lisa.hernandez,clear,WKSTN-U1015	,USER
CMD034085,2026-06-01 15:36:00,U1084,joshua.taylor,clear,WKSTN-U1084,
CMD002036,2026-06-01 16:21:00,U1006,george.gonzalez,clear,WKSTN-U1006,USER
CMD031921,2026-06-01 16:03:00,U1079,emily.jones,cd project/,WKSTN-U1079,USER
CMD009629,2026-06-01 16:30:00,U1024,  emily.miller ,git status,WKSTN-U1024,USER
CMD037257,2026-06-01 15:20:00,U1091,linda.robinson,  systeminfo ,WKSTN-U1091,USER
CMD012301,2026-06-01 15:43:00,U1030,betty.rodriguez86,clear,WKSTN-U1030,USER
CMD003597,2026-06-01 16:44:00,U1010,susan.young51,df -h,WKSTN-U1010,USER
CMD011867,2026-06-01 16:05:00,U1029,michelle.garcia54,dir,WKSTN-U1029,USER
CMD019916,2026-06-01 16:08:00,U1049,michelle.jones59,ping 10.0.0.5,WKSTN-U1049,USER
CMD032778,2026-06-01 17:01:00,U1081,margaret.davis,cd project/,WKSTN-U1081,USER
CMD036351,2026-06-01 16:44:00,U1089,paul.brown27,git pull,WKSTN-U1089,USER
CMD023894,2026-06-01 15:50:00,U1059,daniel.perez98,cd project/,WKSTN-U1059,USER
CMD009631,2026-06-01 15:48:00,U1024,emily.miller,git pull,WKSTN-U1024,USER
CMD026307,2026-06-01 15:10:00,U1065,michael.ramirez47,cd project/,WKSTN-U1065	,USER
CMD033652,2026-06-01 15:10:00,U1083,sarah.allen70,dir,WKSTN-U1083,USER
CMD007830,2026-06-01 15:13:00,U1020,ANDREW.THOMAS36,cat readme.txt,WKSTN-U1020,USER
CMD007389,2026-06-01 16:06:00,U1019,donna.anderson,systeminfo,WKSTN-U1019,
CMD026305,2026-06-01 15:30:00,U1065,michael.ramirez47,  whoami ,WKSTN-U1065,USER
CMD005189,2026-06-01 15:09:00,U1014,james.taylor,git pull,WKSTN-U1014,USER
CMD035457,2026-06-02 09:37:00,U1087,charles.sanchez,git pull,WKSTN-U1087,USER
CMD035459,2026-06-02 08:53:00,U1087,charles.sanchez,git pull,WKSTN-U1087,USER
CMD010094,2026-06-02 08:48:00,U1025,betty.brown22,cat readme.txt,WKSTN-U1025,USER
CMD011885,2026-06-02 07:53:00,U1029,michelle.garcia54,whoami,WKSTN-U1029,USER
CMD031942,2026-06-02 09:48:00,U1079,emily.jones,ls -la,WKSTN-U1079,USER
CMD011465,2026-06-02 09:41:00,U1028,john.hill,ipconfig,WKSTN-U1028,USER
CMD010096,2026-06-02 09:59:00,U1025,betty.brown22,git pull,WKSTN-U1025,USER
CMD001656,2026-06-02 10:01:00,U1005,robert.robinson,cd project/,WKSTN-U1005,USER
CMD016753,2026-06-02 09:03:00,U1041,matthew.allen52,git pull,WKSTN-U1041,USER
CMD006460,2026-06-02 08:56:00,U1017,emily.hernandez34,git status,WKSTN-U1017,USER
CMD011883,2026-06-02 10:19:00,U1029,michelle.garcia54,clear,WKSTN-U1029,USER
CMD025135,2026-06-02 10:12:00,U1062,william.martin,ls -la,WKSTN-U1062,USER
CMD000038,2026-06-02 08:26:00,U1001,linda.johnson95,dir,WKSTN-U1001,USER
CMD034105,2026-06-02 08:30:00,U1084,JOSHUA.TAYLOR,top,WKSTN-U1084,USER
CMD010073,2026-06-01 17:07:00,U1025,betty.brown22,df -h,WKSTN-U1025,USER
CMD010988,2026-06-02 09:45:00,U1027,patricia.brown75,ipconfig,WKSTN-U1027,USER
CMD035008,2026-06-02 08:35:00,U1086,STEVEN.THOMPSON53,ls -la,WKSTN-U1086,USER
CMD007849,2026-06-02 10:33:00,U1020,andrew.thomas36,,WKSTN-U1020,USER
CMD000036,2026-06-02 09:17:00,U1001,linda.johnson95,cd project/,WKSTN-U1001,USER
CMD008747,2026-06-02 09:57:00,U1022,sandra.brown,ipconfig,WKSTN-U1022,USER
CMD038169,2026-06-02 09:21:00,U1093,sarah.clark44,git status,  WKSTN-U1093 ,USER
CMD011467,2026-06-02 08:12:00,U1028,john.hill,dir,WKSTN-U1028,USER
CMD036805,2026-06-02 10:32:00,U1090,mary.hill,ping 10.0.0.5,WKSTN-U1090,USER
CMD007405,2026-06-02 10:25:00,U1019,donna.anderson,ls -la,WKSTN-U1019,USER
CMD032356,2026-06-02 09:22:00,U1080,joseph.jackson91,dir,WKSTN-U1080,USER
CMD023134,2026-06-02 10:39:00,U1057,nancy.sanchez,df -h,WKSTN-U1057,USER
CMD009653,2026-06-02 11:40:00,U1024,emily.miller,cat readme.txt,WKSTN-U1024,USER
CMD011884,2026-06-02 11:17:00,U1029,michelle.garcia54,cat readme.txt,WKSTN-U1029,USER
CMD009651,2026-06-02 10:54:00,U1024,emily.miller,,WKSTN-U1024,USER
CMD008744,2026-06-02 10:38:00,U1022,sandra.brown,git pull,WKSTN-U1022,USER
CMD031940,2026-06-02 11:56:00,U1079,emily.jones,df -h,WKSTN-U1079,USER
CMD010986,2026-06-02 10:45:00,U1027,patricia.brown75,dir,WKSTN-U1027,USER
CMD008745,2026-06-02 10:56:00,U1022,sandra.brown,,WKSTN-U1022,USER
CMD031941,2026-06-02 11:23:00,U1079,emily.jones,whoami,WKSTN-U1079,USER
CMD009650,2026-06-02 10:48:00,U1024,emily.miller,git pull,WKSTN-U1024,USER
CMD034104,2026-06-02 10:52:00,U1084,joshua.taylor,ls -la,WKSTN-U1084,USER
CMD032357,2026-06-02 11:33:00,U1080,joseph.jackson91,cat readme.txt,WKSTN-U1080,USER
CMD035901,2026-06-02 11:22:00,U1088,andrew.smith85,systeminfo,WKSTN-U1088,USER
CMD033229,2026-06-02 11:53:00,U1082,karen.hill96	,ipconfig,  WKSTN-U1082 ,USER
CMD037279,2026-06-02 11:14:00,U1091,linda.robinson,top,WKSTN-U1091,USER
CMD011886,2026-06-02 10:46:00,U1029,michelle.garcia54,systeminfo,WKSTN-U1029,USER
CMD038619,2026-06-02 10:59:00,U1094,elizabeth.lewis69,  ls -la ,WKSTN-U1094,USER
CMD010093,2026-06-02 11:42:00,U1025,betty.brown22,top,WKSTN-U1025,USER
CMD032798,2026-06-02 10:36:00,U1081,margaret.davis,df -h,WKSTN-U1081,USER
CMD033675,2026-06-02 12:00:00,U1083,sarah.allen70,dir,,USER
CMD007404,2026-06-02 10:42:00,U1019,donna.anderson,df -h,WKSTN-U1019,USER
CMD013581,2026-06-02 11:08:00,U1033,linda.miller,df -h,WKSTN-U1033,USER
CMD038618,2026-06-02 11:06:00,U1094,elizabeth.lewis69,clear,WKSTN-U1094,USER
CMD001657,2026-06-02 11:15:00,U1005,robert.robinson,git status,WKSTN-U1005,USER
CMD006009,2026-06-02 10:55:00,U1016,patricia.thomas	,ipconfig,WKSTN-U1016,USER
CMD025137,2026-06-02 13:07:00,U1062,william.martin,ls -la,WKSTN-U1062,USER
CMD034106,2026-06-02 12:28:00,U1084,joshua.taylor,dir,WKSTN-U1084,USER
CMD038616,2026-06-02 12:09:00,U1094,elizabeth.lewis69,df -h,WKSTN-U1094,USER
CMD009652,2026-06-02 13:10:00,U1024,emily.miller,ls -la,WKSTN-U1024,USER
CMD035458,2026-06-02 12:38:00,U1087,charles.sanchez	,cd project/,,USER
CMD012319,2026-06-02 13:38:00,U1030,betty.rodriguez86,cat readme.txt,WKSTN-U1030,USER
CMD032800,2026-06-02 13:10:00,U1081,margaret.davis,ping 10.0.0.5,WKSTN-U1081,USER
CMD009201,2026-06-02 13:45:00,U1023,,cat readme.txt,WKSTN-U1023,USER
CMD023135,2026-06-02 13:33:00,U1057,nancy.sanchez,top,WKSTN-U1057,USER
CMD038171,2026-06-02 13:48:00,U1093,sarah.clark44,cat readme.txt,WKSTN-U1093,USER
CMD038617,2026-06-02 12:45:00,U1094,elizabeth.lewis69,df -h,WKSTN-U1094,USER
CMD035460,2026-06-02 12:10:00,U1087,charles.sanchez,systeminfo,WKSTN-U1087,USER
CMD010095,2026-06-02 12:36:00,U1025,betty.brown22,ping 10.0.0.5,WKSTN-U1025,USER
CMD033228,2026-06-02 12:38:00,U1082,karen.hill96,git status,WKSTN-U1082,USER
CMD034578,2026-06-02 12:17:00,U1085,barbara.walker67,cd project/,WKSTN-U1085,USER
CMD023136,2026-06-02 12:58:00,U1057,nancy.sanchez,systeminfo,WKSTN-U1057,USER
CMD037280,2026-06-02 12:11:00,U1091,linda.robinson,top,WKSTN-U1091,USER
CMD008296,2026-06-02 12:14:00,U1021,jessica.walker,clear,WKSTN-U1021,USER
CMD034107,2026-06-02 12:06:00,U1084,joshua.taylor,whoami,WKSTN-U1084,USER
CMD008746,2026-06-02 13:51:00,U1022,sandra.brown,,WKSTN-U1022,USER
CMD038170,2026-06-02 12:05:00,U1093,sarah.clark44,whoami,WKSTN-U1093,USER
CMD033227,2026-06-02 12:33:00,U1082,karen.hill96,top	,WKSTN-U1082,USER
CMD037726,2026-06-02 13:06:00,U1092,steven.thomas,ls -la,WKSTN-U1092,USER
CMD006952,2026-06-02 13:34:00,U1018,betty.white57,systeminfo,WKSTN-U1018,USER
CMD001659,2026-06-02 13:37:00,U1005,robert.robinson,top,WKSTN-U1005,USER
CMD000037,2026-06-02 15:45:00,U1001,linda.johnson95,top,WKSTN-U1001,USER
CMD038172,2026-06-02 14:51:00,U1093,sarah.clark44,clear,WKSTN-U1093,USER
CMD006951,2026-06-02 14:43:00,U1018,betty.white57,cat readme.txt,WKSTN-U1018,USER
CMD036367,2026-06-02 15:33:00,U1089,PAUL.BROWN27,systeminfo,WKSTN-U1089,USER
CMD008297,2026-06-02 14:58:00,U1021,jessica.walker,ipconfig,WKSTN-U1021,USER
CMD011466,2026-06-02 15:24:00,U1028,john.hill,dir,WKSTN-U1028,USER
CMD004771,2026-06-02 14:37:00,U1013,emily.smith,clear,WKSTN-U1013,USER
CMD013580,2026-06-02 15:14:00,U1033,linda.miller,clear,WKSTN-U1033,USER
CMD025134,2026-06-02 15:25:00,U1062,william.martin,clear,WKSTN-U1062,USER
CMD009200,2026-06-02 14:36:00,U1023,richard.wright,dir,WKSTN-U1023,USER
CMD037281,2026-06-02 15:17:00,U1091,linda.robinson,cat readme.txt,WKSTN-U1091,USER
CMD036804,2026-06-02 15:03:00,U1090,MARY.HILL,top,WKSTN-U1090,USER
CMD010987,2026-06-02 14:51:00,U1027,patricia.brown75,ping 10.0.0.5,WKSTN-U1027,USER
CMD013579,2026-06-02 15:13:00,U1033,linda.miller,systeminfo,WKSTN-U1033,USER
CMD032799,2026-06-02 14:00:00,U1081,margaret.davis,df -h,WKSTN-U1081,
CMD035009,2026-06-02 13:59:00,U1086,steven.thompson53,clear,WKSTN-U1086,USER
CMD007850,2026-06-02 14:18:00,U1020,andrew.thomas36,ipconfig,WKSTN-U1020,USER
CMD007848,2026-06-02 14:45:00,U1020,andrew.thomas36,cd project/,WKSTN-U1020,USER
CMD036366,2026-06-02 15:39:00,U1089,paul.brown27,whoami,WKSTN-U1089,USER
CMD036806,2026-06-02 15:53:00,U1090,mary.hill,ipconfig,WKSTN-U1090,USER
CMD012318,2026-06-02 14:02:00,U1030,betty.rodriguez86,top,WKSTN-U1030,USER
CMD010541,2026-06-02 15:16:00,U1026,elizabeth.gonzalez,clear,WKSTN-U1026,USER
CMD037727,2026-06-02 15:03:00,U1092,steven.thomas,cd project/,WKSTN-U1092,USER
CMD033676,2026-06-02 14:47:00,U1083,sarah.allen70,ping 10.0.0.5,WKSTN-U1083,USER
CMD006007,2026-06-02 15:24:00,U1016,patricia.thomas,cat readme.txt,WKSTN-U1016,USER
CMD012317,2026-06-02 16:38:00,U1030,betty.rodriguez86,cat readme.txt,WKSTN-U1030,USER
CMD034579,2026-06-02 16:23:00,U1085,barbara.walker67,systeminfo,WKSTN-U1085,USER
CMD038638,2026-06-03 08:32:00,U1094,elizabeth.lewis69,git pull,WKSTN-U1094,USER
CMD006034,2026-06-03 08:32:00,U1016,patricia.thomas,git status,,USER
CMD007868,2026-06-03 08:26:00,U1020,andrew.thomas36,ping 10.0.0.5,WKSTN-U1020,USER
CMD025136,2026-06-02 16:13:00,U1062,william.martin,whoami,WKSTN-U1062,USER
CMD036385,2026-06-03 08:14:00,U1089,  paul.brown27 ,git status,WKSTN-U1089,USER
CMD010540,2026-06-02 16:40:00,U1026,elizabeth.gonzalez,ls -la,WKSTN-U1026,USER
CMD036368,2026-06-02 17:05:00,U1089,paul.brown27,git status,WKSTN-U1089,USER
CMD008763,2026-06-03 09:17:00,U1022,,df -h,WKSTN-U1022,USER
CMD008295,2026-06-02 16:18:00,U1021,jessica.walker,clear,WKSTN-U1021,USER
CMD036383,2026-06-03 08:21:00,U1089,paul.brown27	,whoami,WKSTN-U1089,USER
CMD012316,2026-06-02 17:09:00,U1030,betty.rodriguez86,git status,WKSTN-U1030,USER
CMD033694,2026-06-03 08:46:00,U1083,,cat readme.txt,WKSTN-U1083,USER
CMD033695,2026-06-03 08:55:00,U1083,sarah.allen70,ls -la,WKSTN-U1083,USER
CMD037743,2026-06-03 09:24:00,U1092,steven.thomas,cd project/,,USER
CMD009226,2026-06-03 09:23:00,U1023,richard.wright,ipconfig,  WKSTN-U1023 ,USER
CMD037296,2026-06-03 09:24:00,U1091,linda.robinson,git status,WKSTN-U1091,USER
CMD007425,2026-06-03 08:28:00,U1019,donna.anderson,ping 10.0.0.5,WKSTN-U1019,USER
CMD006008,2026-06-02 16:38:00,U1016,patricia.thomas,dir,WKSTN-U1016,USER
CMD035902,2026-06-02 16:59:00,U1088,andrew.smith85,clear,WKSTN-U1088,USER
CMD009675,2026-06-03 07:44:00,U1024,emily.miller,ls -la,WKSTN-U1024,USER
CMD008765,2026-06-03 09:22:00,U1022,sandra.brown,,WKSTN-U1022,USER
CMD036369,2026-06-02 17:02:00,U1089,paul.brown27,systeminfo,WKSTN-U1089,USER
CMD001658,2026-06-02 16:08:00,U1005,robert.robinson,whoami,WKSTN-U1005,USER
CMD034128,2026-06-03 11:37:00,U1084,joshua.taylor,cat readme.txt,WKSTN-U1084,USER
CMD008315,2026-06-03 11:22:00,U1021,jessica.walker,git status,WKSTN-U1021,USER
CMD035475,2026-06-03 11:09:00,U1087,charles.sanchez,  df -h ,WKSTN-U1087,USER
CMD034596,2026-06-03 10:52:00,U1085,barbara.walker67,whoami,WKSTN-U1085,user
CMD037742,2026-06-03 10:38:00,U1092,steven.thomas,,WKSTN-U1092,USER
CMD033249,2026-06-03 10:09:00,U1082,karen.hill96,whoami,WKSTN-U1082,USER
CMD018770,2026-06-03 10:58:00,U1046,michelle.torres39,dir,  WKSTN-U1046 ,USER
CMD012339,2026-06-03 10:25:00,U1030,betty.rodriguez86,ping 10.0.0.5,WKSTN-U1030,USER
CMD034129,2026-06-03 09:50:00,U1084,joshua.taylor,clear,WKSTN-U1084,USER
CMD034127,2026-06-03 09:39:00,U1084,joshua.taylor,df -h,WKSTN-U1084,USER
CMD036829,2026-06-03 11:00:00,U1090,mary.hill,ipconfig,WKSTN-U1090,USER
CMD004372,2026-06-03 11:40:00,U1012,linda.martinez,cat readme.txt,WKSTN-U1012,USER
CMD023158,2026-06-03 10:30:00,U1057,nancy.sanchez,df -h,WKSTN-U1057,USER
CMD006482,2026-06-03 09:58:00,U1017,emily.hernandez34,df -h,WKSTN-U1017,USER
CMD006484,2026-06-03 10:41:00,U1017,emily.hernandez34	,git status,WKSTN-U1017,USER
CMD015580,2026-06-03 09:46:00,U1038,emily.clark,git status,WKSTN-U1038,USER
CMD032377,2026-06-03 10:18:00,U1080,joseph.jackson91,,WKSTN-U1080,USER
CMD012340,2026-06-03 09:43:00,U1030,betty.rodriguez86,df -h,WKSTN-U1030,USER
CMD004374,2026-06-03 11:56:00,U1012,linda.martinez,dir,WKSTN-U1012,USER
CMD037295,2026-06-03 10:37:00,U1091,linda.robinson,dir,WKSTN-U1091,USER
CMD010115,2026-06-03 09:52:00,U1025,betty.brown22,systeminfo,WKSTN-U1025,USER
CMD006968,2026-06-03 11:34:00,U1018,betty.white57,whoami,WKSTN-U1018,USER
CMD007866,2026-06-03 11:25:00,U1020,  andrew.thomas36 ,ls -la,WKSTN-U1020,USER
CMD010114,2026-06-03 11:06:00,U1025,betty.brown22,cat readme.txt,WKSTN-U1025,
CMD035922,2026-06-03 11:27:00,U1088,andrew.smith85,clear,WKSTN-U1088,USER
CMD038637,2026-06-03 13:15:00,U1094,elizabeth.lewis69,  whoami ,WKSTN-U1094,USER
CMD011905,2026-06-03 12:14:00,U1029,michelle.garcia54,whoami,WKSTN-U1029,USER
CMD009676,2026-06-03 13:15:00,U1024,emily.miller,ipconfig,WKSTN-U1024,USER
CMD037745,2026-06-03 13:08:00,U1092,steven.thomas,dir,WKSTN-U1092,USER
CMD006967,2026-06-03 12:00:00,U1018,betty.white57,clear,WKSTN-U1018,USER
CMD004375,2026-06-03 13:29:00,U1012,linda.martinez,ping 10.0.0.5,WKSTN-U1012,USER
CMD009225,2026-06-03 12:07:00,U1023,richard.wright,df -h,WKSTN-U1023,USER
CMD041027,2026-06-03 12:22:00,U1100,daniel.brown38,ipconfig,WKSTN-U1100,USER
CMD003990,2026-06-03 12:22:00,U1011,donna.ramirez75,ipconfig,WKSTN-U1011,USER
CMD006969,2026-06-03 13:20:00,U1018,betty.white57,ping 10.0.0.5,WKSTN-U1018,USER
CMD036828,2026-06-03 12:55:00,U1090,mary.hill,git status,WKSTN-U1090,USER
CMD033248,2026-06-03 13:05:00,U1082,karen.hill96,ipconfig,WKSTN-U1082,user
CMD023541,2026-06-03 13:10:00,U1058,jennifer.ramirez18,ls -la,WKSTN-U1058,USER
