event_id,timestamp,user_id,username,application,duration_minutes,device
APP040231,2026-06-01 11:33:00,U1098,nancy.wright49,PowerPoint,41,WKSTN-U1098
APP033644,2026-06-01 11:33:00,U1083,sarah.allen70,Terminal,55,WKSTN-U1083
APP003950,2026-06-01 11:18:00,U1011,donna.ramirez75,QuickBooks,72,WKSTN-U1011
APP005573,2026-06-01 11:02:00,U1015,lisa.hernandez,Chrome,69,WKSTN-U1015
APP012740,2026-06-01 11:14:00,U1031,john.wright28,Chrome,6,WKSTN-U1031
APP021908,2026-06-01 11:04:00,U1054,anthony.martinez,Excel,41,WKSTN-U1054
APP016307,2026-06-01 11:34:00,U1040,matthew.martin,Chrome,51,WKSTN-U1040
APP029130,2026-06-01 10:57:00,U1072,kenneth.lopez,DocuSign,35,WKSTN-U1072
APP040229,2026-06-01 11:06:00,U1098,nancy.wright49	,Chrome,9,WKSTN-U1098
APP013556,2026-06-01 11:26:00,U1033,linda.miller,Workday,86,WKSTN-U1033
APP019547,2026-06-01 11:33:00,U1048,jennifer.thomas87,Outlook,13,WKSTN-U1048
APP011432,2026-06-01 11:04:00,U1028,john.hill,Slack,72,WKSTN-U1028
APP021906,2026-06-01 11:21:00,U1054,anthony.martinez,Salesforce,11,WKSTN-U1054
APP034981,2026-06-01 11:39:00,U1086,steven.thompson53	,Chrome,5,WKSTN-U1086
APP032770,2026-06-01 11:26:00,U1081,margaret.davis,Active Directory Console,18,WKSTN-U1081
APP034982,2026-06-01 11:28:00,U1086,steven.thompson53,Chrome,23,  WKSTN-U1086 
APP014340,2026-06-01 11:05:00,U1035,nancy.rodriguez82,  Workday ,46,WKSTN-U1035
APP026299,2026-06-01 11:05:00,U1065,michael.ramirez47,Chrome,71,WKSTN-U1065
APP040985,2026-06-01 11:09:00,U1100,daniel.brown38,Outlook,40,WKSTN-U1100
APP028327,2026-06-01 11:47:00,U1070,betty.thomas40,Word,35,WKSTN-U1070
APP004327,2026-06-01 11:50:00,U1012,linda.martinez,SAP,16,WKSTN-U1012
APP035427,2026-06-01 11:53:00,U1087,,Chrome,48,WKSTN-U1087
APP022719,2026-06-01 11:53:00,U1056,anthony.clark,Outlook,26,WKSTN-U1056
APP018717,2026-06-01 12:06:00,U1046,michelle.torres39,  Chrome ,27,WKSTN-U1046
APP006929,2026-06-01 11:45:00,U1018,betty.white57,Git,,WKSTN-U1018
APP010064,2026-06-01 11:44:00,U1025,betty.brown22,CHROME,12,WKSTN-U1025
APP012741,2026-06-01 11:49:00,U1031,john.wright28,  Excel ,35,WKSTN-U1031
APP022328,2026-06-01 11:47:00,U1055,patricia.wilson54,Outlook,45,WKSTN-U1055
APP014337,2026-06-01 11:41:00,U1035,nancy.rodriguez82,Outlook,54,WKSTN-U1035
APP035872,2026-06-01 12:01:00,U1088,andrew.smith85,Wireshark,38,WKSTN-U1088
APP018716,2026-06-01 12:21:00,U1046,michelle.torres39,Chrome,74,WKSTN-U1046
APP021499,2026-06-01 12:20:00,U1053,john.jackson31	,Chrome,89,WKSTN-U1053
APP016309,2026-06-01 11:49:00,U1040,matthew.martin,Excel,75,WKSTN-U1040
APP013149,2026-06-01 12:22:00,U1032,paul.wright91,Chrome,42,WKSTN-U1032
APP012294,2026-06-01 12:04:00,U1030,betty.rodriguez86,Docker Desktop,63,
APP020299,2026-06-01 11:42:00,U1050,michael.ramirez	,Chrome,76,WKSTN-U1050
APP000405,2026-06-01 12:16:00,U1002,donna.ramirez,Outlook,12,WKSTN-U1002
APP039016,2026-06-01 11:55:00,U1095,richard.thomas74,Zoom,33,WKSTN-U1095
APP024693,2026-06-01 12:15:00,U1061,jessica.rodriguez,Excel,48,WKSTN-U1061
APP040987,2026-06-01 12:12:00,U1100,daniel.brown38,Excel,50,WKSTN-U1100
APP039411,2026-06-01 11:52:00,U1096,david.allen76,,28,WKSTN-U1096
APP015537,2026-06-01 12:03:00,U1038,emily.clark,Excel,86,WKSTN-U1038
APP014732,2026-06-01 11:49:00,U1036,linda.jones,Workday,33,WKSTN-U1036
APP021105,2026-06-01 11:57:00,U1052,paul.taylor,Excel,45,WKSTN-U1052
APP031914,2026-06-01 12:34:00,U1079,emily.jones,PuTTY,3,WKSTN-U1079
APP008719,2026-06-01 12:33:00,U1022,sandra.brown,Docker Desktop,8,WKSTN-U1022
APP002805,2026-06-01 12:47:00,U1008,joshua.hernandez,SAP,37,WKSTN-U1008
APP018314,2026-06-01 12:48:00,U1045,daniel.sanchez90,Workday,88,  WKSTN-U1045 
APP031110,2026-06-01 12:25:00,U1077,kimberly.harris58,Chrome,62,WKSTN-U1077
APP000407,2026-06-01 12:24:00,U1002,donna.ramirez,QuickBooks,60,WKSTN-U1002
APP001634,2026-06-01 12:27:00,U1005,robert.robinson,QuickBooks,61,
APP033203,2026-06-01 12:48:00,U1082,karen.hill96,PuTTY,73,WKSTN-U1082
APP038589,2026-06-01 12:24:00,U1094,elizabeth.lewis69,Terminal,11,WKSTN-U1094
APP006430,2026-06-01 12:31:00,U1017,emily.hernandez34,Slack,74,WKSTN-U1017
APP028326,2026-06-01 12:48:00,U1070,betty.thomas40,Chrome,26,WKSTN-U1070
APP005982,2026-06-01 12:25:00,U1016,,Git,55,WKSTN-U1016
APP003591,2026-06-01 12:32:00,U1010,,QuickBooks,63,WKSTN-U1010
APP008267,2026-06-01 12:38:00,U1021,jessica.walker,Slack,83,WKSTN-U1021
APP025114,2026-06-01 12:25:00,U1062,william.martin,Zoom,90,WKSTN-U1062
APP017117,2026-06-01 12:47:00,U1042,michael.hill56,Chrome,66,WKSTN-U1042
APP015535,2026-06-01 12:25:00,U1038,emily.clark,Workday,76,WKSTN-U1038
APP029933,2026-06-01 12:41:00,U1074,sarah.williams7,DocuSign,25,WKSTN-U1074
APP040984,2026-06-01 12:31:00,U1100,daniel.brown38,Chrome,66,WKSTN-U1100
APP037700,2026-06-01 12:24:00,U1092,steven.thomas,Slack,45,WKSTN-U1092
APP007385,2026-06-01 12:26:00,U1019,donna.anderson,Git,60,WKSTN-U1019
APP003590,2026-06-01 12:23:00,U1010,susan.young51,Excel,36,WKSTN-U1010
APP029929,2026-06-01 12:41:00,U1074,sarah.williams7,Outlook,54,WKSTN-U1074
APP018718,2026-06-01 12:48:00,U1046,michelle.torres39,Excel,51,WKSTN-U1046	
APP025518,2026-06-01 12:46:00,U1063,john.nguyen,DocuSign,66,WKSTN-U1063
APP011857,2026-06-01 13:16:00,U1029,michelle.garcia54,Chrome,11,WKSTN-U1029
APP002030,2026-06-01 13:17:00,U1006,george.gonzalez,SAP,47,WKSTN-U1006
APP019911,2026-06-01 13:11:00,U1049,michelle.jones59,Excel,17,WKSTN-U1049
APP001245,2026-06-01 13:17:00,U1004,elizabeth.wilson98,QuickBooks,16,WKSTN-U1004
APP025515,2026-06-01 12:49:00,U1063,john.nguyen,DocuSign,67,WKSTN-U1063
APP036778,2026-06-01 12:54:00,U1090,mary.hill,PuTTY,62,WKSTN-U1090
APP021500,2026-06-01 12:50:00,U1053,john.jackson31,Salesforce,25,WKSTN-U1053
APP036779,2026-06-01 13:16:00,U1090,mary.hill,PuTTY,58,WKSTN-U1090
APP022326,2026-06-01 13:17:00,U1055,patricia.wilson54,Zoom,8,WKSTN-U1055
APP013148,2026-06-01 13:10:00,U1032,paul.wright91,Chrome,58,WKSTN-U1032
APP013942,2026-06-01 13:16:00,U1034,thomas.allen63,Chrome,6,  WKSTN-U1034 
APP039823,2026-06-01 13:09:00,U1097,mark.martinez10,Excel,72,WKSTN-U1097
APP030343,2026-06-01 12:56:00,U1075,steven.lewis,Outlook,7,WKSTN-U1075
APP021106,2026-06-01 13:08:00,U1052,paul.taylor,Salesforce,59,WKSTN-U1052
APP011433,2026-06-01 13:08:00,U1028,john.hill,Chrome,29,WKSTN-U1028
APP009169,2026-06-01 13:12:00,U1023,richard.wright,Git,42,WKSTN-U1023
APP005185,2026-06-01 12:58:00,U1014,james.taylor,Excel,17,WKSTN-U1014
APP002807,2026-06-01 13:18:00,U1008,joshua.hernandez,OUTLOOK,24,WKSTN-U1008
APP037254,2026-06-01 13:21:00,U1091,linda.robinson,Terminal,77,WKSTN-U1091
APP030341,2026-06-01 13:05:00,U1075,steven.lewis,Word,34,WKSTN-U1075
APP013554,2026-06-01 13:04:00,U1033,linda.miller,Outlook,33,WKSTN-U1033
APP014733,2026-06-01 13:14:00,U1036,linda.jones,Outlook,48,WKSTN-U1036
APP033643,2026-06-01 13:01:00,U1083,sarah.allen70,Wireshark,88,WKSTN-U1083
APP017916,2026-06-01 12:59:00,U1044,lisa.ramirez9,Chrome,12,WKSTN-U1044
APP027504,2026-06-01 12:56:00,U1068,susan.thompson34,Chrome,49,WKSTN-U1068	
APP008268,2026-06-01 13:53:00,U1021,jessica.walker,VSCode,53,WKSTN-U1021
APP002029,2026-06-01 13:45:00,U1006,george.gonzalez,Outlook,50,WKSTN-U1006
APP018315,2026-06-01 13:57:00,U1045,daniel.sanchez90,Chrome,88,WKSTN-U1045
APP026742,2026-06-01 13:25:00,U1066,michelle.wright62,Word,39,WKSTN-U1066
APP017915,2026-06-01 13:58:00,U1044,lisa.ramirez9,Outlook,57,WKSTN-U1044
APP039824,2026-06-01 13:35:00,U1097,mark.martinez10,PowerPoint,-7.0,WKSTN-U1097	
APP024692,2026-06-01 13:46:00,U1061,jessica.rodriguez,  Chrome ,56,WKSTN-U1061
APP029129,2026-06-01 13:33:00,U1072,kenneth.lopez,Outlook,70,WKSTN-U1072
APP023112,2026-06-01 13:33:00,U1057,nancy.sanchez,Chrome,50,WKSTN-U1057
APP039408,2026-06-01 13:28:00,U1096,david.allen76,Outlook,16,WKSTN-U1096
APP015534,2026-06-01 13:54:00,U1038,emily.clark,Excel,11,
APP031912,2026-06-01 13:49:00,U1079,emily.jones,Chrome,32,WKSTN-U1079
APP005575,2026-06-01 13:37:00,U1015,,Chrome,,WKSTN-U1015
APP031913,2026-06-01 13:30:00,U1079,emily.jones,Active Directory Console,74,WKSTN-U1079
APP016727,2026-06-01 13:45:00,U1041,matthew.allen52,Workday,58,WKSTN-U1041
APP027120,2026-06-01 13:54:00,U1067,PAUL.THOMAS97,Outlook,31,WKSTN-U1067
APP008269,2026-06-01 13:40:00,U1021,jessica.walker,Slack,30,WKSTN-U1021
APP023889,2026-06-01 13:41:00,U1059,daniel.perez98,Excel,78,WKSTN-U1059
APP001635,2026-06-01 13:51:00,U1005,robert.robinson,Excel,84,WKSTN-U1005
APP022716,2026-06-01 13:52:00,U1056,anthony.clark,Salesforce,16,WKSTN-U1056
APP018719,2026-06-01 13:23:00,U1046,michelle.torres39,Workday,68,WKSTN-U1046
APP022329,2026-06-01 13:47:00,U1055,patricia.wilson54,Zoom,61,WKSTN-U1055
APP034980,2026-06-01 13:29:00,U1086,steven.thompson53,Active Directory Console,43,
APP025115,2026-06-01 13:52:00,U1062,william.martin,Outlook,85,WKSTN-U1062
APP023110,2026-06-01 13:34:00,U1057,nancy.sanchez,Outlook,10,WKSTN-U1057
APP034545,2026-06-01 14:04:00,U1085,barbara.walker67,chrome,12,WKSTN-U1085
APP001246,2026-06-01 14:07:00,U1004,elizabeth.wilson98,Outlook,90,WKSTN-U1004
APP003177,2026-06-01 14:34:00,U1009,daniel.brown,Excel,10,WKSTN-U1009
APP004746,2026-06-01 14:40:00,U1013,emily.smith,QuickBooks,56,WKSTN-U1013
APP040228,2026-06-01 14:15:00,U1098,nancy.wright49,Excel,9,WKSTN-U1098
APP010510,2026-06-01 14:29:00,U1026,elizabeth.gonzalez,Slack,84,  WKSTN-U1026 
APP015536,2026-06-01 14:22:00,U1038,emily.clark,Excel,79,WKSTN-U1038
APP002806,2026-06-01 14:11:00,U1008,,Excel,90,WKSTN-U1008
APP036342,2026-06-01 14:12:00,U1089,paul.brown27,Slack,27,WKSTN-U1089
APP010511,2026-06-01 13:58:00,U1026,elizabeth.gonzalez,Slack,,WKSTN-U1026
APP024304,2026-06-01 14:25:00,U1060,matthew.anderson,Salesforce,72,WKSTN-U1060
APP005576,2026-06-01 14:27:00,U1015,lisa.hernandez,Excel,8,WKSTN-U1015
APP038587,2026-06-01 14:32:00,U1094,elizabeth.lewis69,Slack,75,WKSTN-U1094
APP007384,2026-06-01 14:39:00,U1019,donna.anderson,Chrome,70,WKSTN-U1019
APP037253,2026-06-01 14:39:00,U1091,linda.robinson,Wireshark,65,WKSTN-U1091
APP027888,2026-06-01 14:33:00,U1069,JESSICA.CLARK,Word,71,WKSTN-U1069
APP035873,2026-06-01 14:09:00,U1088,andrew.smith85,PuTTY,75,
APP037252,2026-06-01 14:34:00,U1091,linda.robinson,Active Directory Console,78,WKSTN-U1091
APP009170,2026-06-01 14:06:00,U1023,richard.wright,Slack,17,WKSTN-U1023
APP038145,2026-06-01 14:13:00,U1093,sarah.clark44,Active Directory Console,36,WKSTN-U1093
APP000825,2026-06-01 14:26:00,U1003,kenneth.clark29,Chrome,76,WKSTN-U1003
APP039018,2026-06-01 14:14:00,U1095,richard.thomas74,Excel	,,WKSTN-U1095
APP030722,2026-06-01 14:11:00,U1076,john.torres,Word,60,WKSTN-U1076
APP039820,2026-06-01 14:29:00,U1097,mark.martinez10,Zoom,43,WKSTN-U1097
APP040230,2026-06-01 14:18:00,U1098,nancy.wright49,PowerPoint,5,WKSTN-U1098
APP032333,2026-06-01 14:55:00,U1080,joseph.jackson91,Wireshark,79,WKSTN-U1080
APP010065,2026-06-01 14:43:00,U1025,betty.brown22,VSCode,57,WKSTN-U1025
APP025907,2026-06-01 14:51:00,U1064,matthew.wright55,Outlook,89,WKSTN-U1064
APP004329,2026-06-01 15:19:00,U1012,linda.martinez,Chrome,88,WKSTN-U1012
APP002028,2026-06-01 15:03:00,U1006,george.gonzalez,Excel,48,WKSTN-U1006
APP030340,2026-06-01 14:52:00,U1075,steven.lewis,Outlook,14,WKSTN-U1075
APP022717,2026-06-01 15:20:00,U1056,anthony.clark,Excel,64,WKSTN-U1056
APP000011,2026-06-01 14:41:00,U1001,linda.johnson95,outlook,38,WKSTN-U1001
APP027121,2026-06-01 14:55:00,U1067,paul.thomas97,Chrome,35,WKSTN-U1067
APP031109,2026-06-01 15:20:00,U1077,kimberly.harris58,Chrome,17,WKSTN-U1077
APP009621,2026-06-01 14:48:00,U1024,emily.miller,VSCode,,WKSTN-U1024
APP028730,2026-06-01 15:13:00,U1071,matthew.robinson35,DocuSign,15,WKSTN-U1071
APP035425,2026-06-01 15:22:00,U1087,charles.sanchez,Wireshark,9,WKSTN-U1087
APP024302,2026-06-01 15:13:00,U1060,matthew.anderson,Chrome,62,WKSTN-U1060
APP000013,2026-06-01 15:10:00,U1001,linda.johnson95,QuickBooks,30,WKSTN-U1001
APP031111,2026-06-01 15:01:00,U1077,kimberly.harris58,Chrome,44,WKSTN-U1077
APP027503,2026-06-01 14:54:00,U1068,susan.thompson34,Outlook,59,
APP036341,2026-06-01 14:43:00,U1089,paul.brown27,PuTTY,26,WKSTN-U1089
APP012297,2026-06-01 14:54:00,U1030,betty.rodriguez86,Git,55,WKSTN-U1030
APP038146,2026-06-01 14:42:00,U1093,sarah.clark44	,Slack,5,WKSTN-U1093
APP029930,2026-06-01 14:58:00,U1074,sarah.williams7,DocuSign,77,WKSTN-U1074
APP031112,2026-06-01 14:49:00,U1077,kimberly.harris58,Word,80,WKSTN-U1077
APP000012,2026-06-01 14:57:00,U1001,linda.johnson95,Excel,79,WKSTN-U1001
APP024303,2026-06-01 15:10:00,U1060,matthew.anderson,salesforce,32,WKSTN-U1060
APP003176,2026-06-01 14:48:00,U1009,daniel.brown,quickbooks,63,WKSTN-U1009
APP023500,2026-06-01 15:42:00,U1058,jennifer.ramirez18,Zoom,28,WKSTN-U1058
APP034081,2026-06-01 15:30:00,U1084,joshua.taylor,Wireshark,75,WKSTN-U1084
APP010509,2026-06-01 15:34:00,U1026,elizabeth.gonzalez,Slack,5,WKSTN-U1026
APP021907,2026-06-01 15:41:00,U1054,anthony.martinez,Chrome,19,WKSTN-U1054
APP032772,2026-06-01 15:30:00,U1081,margaret.davis,Wireshark,86,WKSTN-U1081
APP019546,2026-06-01 15:40:00,U1048,jennifer.thomas87,  Chrome ,-71.0,
APP038588,2026-06-01 15:39:00,U1094,elizabeth.lewis69,Terminal,45,WKSTN-U1094
APP023888,2026-06-01 15:47:00,U1059,,Excel,55,WKSTN-U1059
APP028729,2026-06-01 15:39:00,U1071,matthew.robinson35,DocuSign,27,WKSTN-U1071
APP036340,2026-06-01 15:49:00,U1089,paul.brown27,Slack,50,WKSTN-U1089
APP007823,2026-06-01 15:51:00,U1020,  andrew.thomas36 ,VSCode,23,WKSTN-U1020
APP027889,2026-06-01 15:50:00,U1069,jessica.clark,DocuSign,39,WKSTN-U1069
APP003588,2026-06-01 15:35:00,U1010,  susan.young51 ,Outlook,56,WKSTN-U1010
APP024694,2026-06-01 15:49:00,U1061,jessica.rodriguez,Zoom,8,WKSTN-U1061
APP011434,2026-06-01 15:22:00,U1028,john.hill,Slack,83,WKSTN-U1028
APP036339,2026-06-01 15:40:00,U1089,paul.brown27,Slack,,WKSTN-U1089
APP008717,2026-06-01 15:51:00,U1022,sandra.brown,,76,WKSTN-U1022
APP000010,2026-06-01 15:42:00,U1001,linda.johnson95,SAP,79,WKSTN-U1001
APP039015,2026-06-01 15:31:00,U1095,,Outlook,62,WKSTN-U1095
APP008266,2026-06-01 15:38:00,U1021,jessica.walker,,85,WKSTN-U1021
APP002027,2026-06-01 15:40:00,U1006,,QuickBooks,42,WKSTN-U1006
APP009172,2026-06-01 15:43:00,U1023,richard.wright,Docker Desktop,42,WKSTN-U1023
APP008716,2026-06-01 15:28:00,U1022,sandra.brown,VSCode,40,WKSTN-U1022
APP015937,2026-06-01 15:24:00,U1039,  mark.thomas ,Outlook	,79,WKSTN-U1039
APP026300,2026-06-01 15:32:00,U1065,michael.ramirez47,Outlook,41,WKSTN-U1065
