event_id,timestamp,user_id,username,destination_domain,destination_type,bytes_transferred,device
NET010078,2026-06-01 09:38:00,U1025,betty.brown22,mail.corp.local,INTERNAL,384314,WKSTN-U1025
NET019552,2026-06-01 09:45:00,U1048,jennifer.thomas87,confluence.corp.local	,INTERNAL,193555,WKSTN-U1048
NET039834,2026-06-01 09:59:00,U1097,mark.martinez10,hr-portal.corp.local,INTERNAL,178655,WKSTN-U1097
NET003956,2026-06-01 09:48:00,U1011,donna.ramirez75,confluence.corp.local,INTERNAL,150822,WKSTN-U1011
NET034090,2026-06-01 09:59:00,U1084,joshua.taylor,hr-portal.corp.local,INTERNAL,53602,WKSTN-U1084
NET025917,2026-06-01 09:39:00,U1064,MATTHEW.WRIGHT55,weather.com,EXTERNAL,671,WKSTN-U1064
NET024313,2026-06-01 09:35:00,U1060,MATTHEW.ANDERSON,sharepoint.corp.local,INTERNAL,474087,WKSTN-U1060
NET015943,2026-06-01 09:56:00,U1039,mark.thomas,jira.corp.local,INTERNAL,304837,WKSTN-U1039
NET034992,2026-06-01 09:41:00,U1086,steven.thompson53,jira.corp.local,INTERNAL,348135,WKSTN-U1086
NET022336,2026-06-01 09:53:00,U1055,patricia.wilson54,confluence.corp.local,INTERNAL,221577,WKSTN-U1055
NET008726,2026-06-01 09:45:00,U1022,sandra.brown,sharepoint.corp.local,INTERNAL,194228,WKSTN-U1022
NET010075,2026-06-01 09:58:00,U1025,betty.brown22,sharepoint.corp.local,INTERNAL,333322,WKSTN-U1025
NET013953,2026-06-01 09:34:00,U1034,thomas.allen63,vpn.corp.local,INTERNAL,162681,WKSTN-U1034
NET039832,2026-06-01 09:37:00,U1097,  mark.martinez10 ,,INTERNAL,44464,WKSTN-U1097
NET005989,2026-06-01 09:32:00,U1016,patricia.thomas,confluence.corp.local,INTERNAL,322765,WKSTN-U1016
NET023118,2026-06-01 09:40:00,U1057,nancy.sanchez	,jira.corp.local,INTERNAL,487811,WKSTN-U1057
NET034561,2026-06-01 09:58:00,U1085,,weather.com,EXTERNAL,15852,WKSTN-U1085
NET037708,2026-06-01 09:41:00,U1092,steven.thomas,vpn.corp.local,INTERNAL,226957,WKSTN-U1092
NET031925,2026-06-01 09:57:00,U1079,emily.jones,jira.corp.local,INTERNAL,145800,WKSTN-U1079
NET020721,2026-06-01 09:41:00,U1051,sandra.king72,vpn.corp.local,INTERNAL,378301,WKSTN-U1051
NET007832,2026-06-01 09:51:00,U1020,andrew.thomas36,confluence.corp.local,INTERNAL,93738,WKSTN-U1020
NET035439,2026-06-01 09:55:00,U1087,charles.sanchez,jira.corp.local,INTERNAL,241474,WKSTN-U1087
NET011444,2026-06-01 10:13:00,U1028,john.hill,hr-portal.corp.local,INTERNAL,342713,WKSTN-U1028
NET013157,2026-06-01 10:42:00,U1032,paul.wright91,hr-portal.corp.local,INTERNAL,395479,WKSTN-U1032
NET012306,2026-06-01 10:26:00,U1030,,hr-portal.corp.local,INTERNAL,,WKSTN-U1030
NET002810,2026-06-01 10:35:00,U1008,joshua.hernandez,confluence.corp.local,INTERNAL,310932,WKSTN-U1008
NET002038,2026-06-01 10:04:00,U1006,george.gonzalez,vpn.corp.local,internal,255036,WKSTN-U1006
NET006439,2026-06-01 10:30:00,U1017,emily.hernandez34,hr-portal.corp.local,INTERNAL,262126,WKSTN-U1017
NET036791,2026-06-01 10:39:00,U1090,mary.hill,vpn.corp.local,INTERNAL,67618,WKSTN-U1090
NET021111,2026-06-01 10:32:00,U1052,paul.taylor,sharepoint.corp.local	,INTERNAL,332519,WKSTN-U1052
NET003184,2026-06-01 10:13:00,U1009,daniel.brown,vpn.corp.local,INTERNAL,63748,WKSTN-U1009
NET021112,2026-06-01 10:09:00,U1052,paul.taylor,mail.corp.local,INTERNAL,162093,WKSTN-U1052	
NET022722,2026-06-01 10:04:00,U1056,anthony.clark,sharepoint.corp.local,INTERNAL,465877,WKSTN-U1056
NET037710,2026-06-01 10:26:00,U1092,steven.thomas,hr-portal.corp.local,INTERNAL,452991,WKSTN-U1092
NET002431,2026-06-01 10:20:00,U1007,sarah.robinson82,sharepoint.corp.local,INTERNAL,139313,WKSTN-U1007
NET029551,2026-06-01 10:19:00,U1073,michael.gonzalez,jira.corp.local,INTERNAL,294052,WKSTN-U1073
NET016736,2026-06-01 10:20:00,U1041,,sharepoint.corp.local,INTERNAL,279621,WKSTN-U1041
NET025526,2026-06-01 10:16:00,U1063,john.nguyen,jira.corp.local,INTERNAL,36968,WKSTN-U1063
NET027508,2026-06-01 10:19:00,U1068,susan.thompson34,jira.corp.local,INTERNAL,176146,WKSTN-U1068
NET034089,2026-06-01 10:13:00,U1084,joshua.taylor,hr-portal.corp.local,INTERNAL,123885,WKSTN-U1084
NET011445,2026-06-01 10:27:00,U1028,john.hill,vpn.corp.local,INTERNAL,309762,WKSTN-U1028
NET026751,2026-06-01 10:28:00,U1066,michelle.wright62,hr-portal.corp.local,INTERNAL,199813,WKSTN-U1066
NET003186,2026-06-01 10:41:00,U1009,daniel.brown,weather.com,EXTERNAL,5782,WKSTN-U1009
NET025916,2026-06-01 10:24:00,U1064,matthew.wright55,sharepoint.corp.local,INTERNAL,56966,WKSTN-U1064
NET034996,2026-06-01 10:14:00,U1086,steven.thompson53,linkedin.com,EXTERNAL,13549,WKSTN-U1086
NET000018,2026-06-01 10:39:00,U1001,linda.johnson95,jira.corp.local,INTERNAL,135726,WKSTN-U1001
NET019136,2026-06-01 10:15:00,U1047,sandra.lewis,jira.corp.local,INTERNAL,488733,WKSTN-U1047
NET007833,2026-06-01 10:45:00,U1020,andrew.thomas36,,INTERNAL,115042,WKSTN-U1020
NET022725,2026-06-01 11:15:00,U1056,,confluence.corp.local,INTERNAL,431701,WKSTN-U1056
NET004750,2026-06-01 10:50:00,U1013,emily.smith,sharepoint.corp.local,INTERNAL,58624,WKSTN-U1013	
NET030727,2026-06-01 11:18:00,U1076,john.torres,jira.corp.local,INTERNAL,442497,WKSTN-U1076
NET037709,2026-06-01 11:09:00,U1092,,hr-portal.corp.local,INTERNAL,-104997.0,WKSTN-U1092
NET029550,2026-06-01 10:57:00,U1073,michael.gonzalez,,INTERNAL,151125,WKSTN-U1073
NET027127,2026-06-01 11:16:00,U1067,paul.thomas97,confluence.corp.local,INTERNAL,120589,WKSTN-U1067
NET031923,2026-06-01 11:07:00,U1079,emily.jones,hr-portal.corp.local,INTERNAL,460671,WKSTN-U1079
NET034557,2026-06-01 11:01:00,U1085,barbara.walker67,jira.corp.local,INTERNAL,243274,WKSTN-U1085
NET016734,2026-06-01 11:15:00,U1041,matthew.allen52,vpn.corp.local,INTERNAL,136184,WKSTN-U1041
NET032782,2026-06-01 11:11:00,U1081,margaret.davis,confluence.corp.local,INTERNAL,184336,WKSTN-U1081
NET029938,2026-06-01 10:58:00,U1074,sarah.williams7,mail.corp.local	,,450581,WKSTN-U1074
NET002043,2026-06-01 11:22:00,U1006,george.gonzalez,news.com,EXTERNAL,6892,WKSTN-U1006
NET019140,2026-06-01 10:45:00,U1047,sandra.lewis,mail.corp.local,INTERNAL,255689,WKSTN-U1047
NET023507,2026-06-01 11:19:00,U1058,,confluence.corp.local,INTERNAL,236804,WKSTN-U1058
NET021912,2026-06-01 11:23:00,U1054,anthony.martinez,hr-portal.corp.local,INTERNAL,283225,WKSTN-U1054
NET016738,2026-06-01 11:14:00,U1041,matthew.allen52,vpn.corp.local,INTERNAL,171795,WKSTN-U1041
NET024701,2026-06-01 10:44:00,U1061,jessica.rodriguez,sharepoint.corp.local,INTERNAL,149317,WKSTN-U1061
NET031117,2026-06-01 11:14:00,U1077,kimberly.harris58,confluence.corp.local,INTERNAL,437432,WKSTN-U1077
NET010970,2026-06-01 11:15:00,U1027,patricia.brown75,confluence.corp.local,INTERNAL,316316,WKSTN-U1027
NET012303,2026-06-01 11:18:00,U1030,betty.rodriguez86,confluence.corp.local	,INTERNAL,360458,WKSTN-U1030
NET000020,2026-06-01 10:51:00,U1001,linda.johnson95,hr-portal.corp.local,INTERNAL,457338,WKSTN-U1001
NET013159,2026-06-01 11:00:00,U1032,paul.wright91,jira.corp.local,INTERNAL,215268,WKSTN-U1032
NET000413,2026-06-01 11:19:00,U1002,donna.ramirez,jira.corp.local,INTERNAL,336795,WKSTN-U1002
NET031119,2026-06-01 11:12:00,U1077,kimberly.harris58,vpn.corp.local,INTERNAL,180485,WKSTN-U1077
NET011868,2026-06-01 11:39:00,U1029,michelle.garcia54,mail.corp.local,INTERNAL,420309,WKSTN-U1029
NET002041,2026-06-01 11:44:00,U1006,george.gonzalez,mail.corp.local,INTERNAL,346159,WKSTN-U1006
NET027129,2026-06-01 11:42:00,U1067,paul.thomas97,hr-portal.corp.local,INTERNAL,120311,WKSTN-U1067
NET000412,2026-06-01 11:43:00,U1002,donna.ramirez,mail.corp.local,INTERNAL,331175,WKSTN-U1002
NET031122,2026-06-01 11:26:00,U1077,kimberly.harris58,weather.com,EXTERNAL,11723,WKSTN-U1077
NET030349,2026-06-01 11:52:00,U1075,steven.lewis,jira.corp.local,INTERNAL,116265,WKSTN-U1075
NET002039,2026-06-01 11:29:00,U1006,george.gonzalez,hr-portal.corp.local,INTERNAL,322174,WKSTN-U1006
NET033211,2026-06-01 11:28:00,U1082,karen.hill96,vpn.corp.local,INTERNAL,361116,WKSTN-U1082
NET019920,2026-06-01 11:23:00,U1049,michelle.jones59,hr-portal.corp.local,INTERNAL,119736,WKSTN-U1049
NET005192,2026-06-01 11:52:00,U1014,,jira.corp.local,INTERNAL,416906,WKSTN-U1014
NET028740,2026-06-01 11:45:00,U1071,matthew.robinson35,vpn.corp.local,INTERNAL,315755,WKSTN-U1071
NET001254,2026-06-01 11:45:00,U1004,elizabeth.wilson98,hr-portal.corp.local,INTERNAL,412577,WKSTN-U1004
NET001640,2026-06-01 11:42:00,U1005,robert.robinson,mail.corp.local,INTERNAL,50537,WKSTN-U1005
NET017538,2026-06-01 11:27:00,U1043,thomas.williams91,vpn.corp.local,INTERNAL,234245,WKSTN-U1043
NET034558,2026-06-01 11:41:00,U1085,barbara.walker67,mail.corp.local,INTERNAL,470310,WKSTN-U1085
NET037262,2026-06-01 11:44:00,U1091,linda.robinson,confluence.corp.local,INTERNAL,372226,WKSTN-U1091
NET010522,2026-06-01 11:25:00,U1026,elizabeth.gonzalez,hr-portal.corp.local,INTERNAL,316058,WKSTN-U1026	
NET001252,2026-06-01 11:38:00,U1004,elizabeth.wilson98,jira.corp.local,INTERNAL,19521,WKSTN-U1004
NET007834,2026-06-01 11:31:00,U1020,andrew.thomas36,vpn.corp.local,INTERNAL,245200,  WKSTN-U1020 
NET037263,2026-06-01 11:38:00,U1091,linda.robinson,mail.corp.local,INTERNAL,28313,WKSTN-U1091
NET026310,2026-06-01 11:27:00,U1065,michael.ramirez47,vpn.corp.local,INTERNAL,89785,WKSTN-U1065
NET005583,2026-06-01 11:38:00,U1015,lisa.hernandez,sharepoint.corp.local,INTERNAL,105707,WKSTN-U1015
NET007391,2026-06-01 11:34:00,U1019,donna.anderson,jira.corp.local,INTERNAL,80855,WKSTN-U1019
NET031118,2026-06-01 11:33:00,U1077,kimberly.harris58,sharepoint.corp.local,INTERNAL,479245,WKSTN-U1077
NET000832,2026-06-01 11:53:00,U1003,kenneth.clark29,linkedin.com,EXTERNAL,15121,WKSTN-U1003
NET039419,2026-06-01 12:08:00,U1096,david.allen76,hr-portal.corp.local,INTERNAL,120923,WKSTN-U1096
NET023120,2026-06-01 12:10:00,U1057,nancy.sanchez,sharepoint.corp.local,INTERNAL,99331,WKSTN-U1057
NET016314,2026-06-01 12:22:00,U1040,matthew.martin,confluence.corp.local,INTERNAL,203706,WKSTN-U1040
NET032781,2026-06-01 12:06:00,U1081,margaret.davis,jira.corp.local,INTERNAL,407576,WKSTN-U1081	
NET021114,2026-06-01 12:25:00,U1052,paul.taylor,linkedin.com,EXTERNAL,2116,WKSTN-U1052	
NET020723,2026-06-01 12:04:00,U1051,sandra.king72,confluence.corp.local,INTERNAL,1953,WKSTN-U1051
NET026308,2026-06-01 12:06:00,U1065,michael.ramirez47,sharepoint.corp.local,INTERNAL,427733,WKSTN-U1065
NET025121,2026-06-01 11:57:00,U1062,william.martin,confluence.corp.local,INTERNAL,187684,WKSTN-U1062
NET028742,2026-06-01 11:56:00,U1071,matthew.robinson35,jira.corp.local,,244345,WKSTN-U1071
NET015540,2026-06-01 11:58:00,U1038,,hr-portal.corp.local,INTERNAL,173526,WKSTN-U1038
NET038597,2026-06-01 12:03:00,U1094,elizabeth.lewis69,mail.corp.local,INTERNAL,68814,WKSTN-U1094
NET024311,2026-06-01 12:01:00,U1060,matthew.anderson,vpn.corp.local,INTERNAL,26842,WKSTN-U1060
NET008727,2026-06-01 12:10:00,U1022,sandra.brown,vpn.corp.local,INTERNAL,104234,WKSTN-U1022	
NET004749,2026-06-01 12:20:00,U1013,emily.smith,jira.corp.local,INTERNAL,244480,WKSTN-U1013
NET036787,2026-06-01 11:57:00,U1090,mary.hill,sharepoint.corp.local,,264188,WKSTN-U1090
NET015123,2026-06-01 12:22:00,U1037,robert.martin,mail.corp.local,INTERNAL,128488,WKSTN-U1037
NET025120,2026-06-01 12:22:00,U1062,,vpn.corp.local,INTERNAL,181924,WKSTN-U1062
NET018725,2026-06-01 12:02:00,U1046,michelle.torres39,confluence.corp.local,INTERNAL,65837,WKSTN-U1046
NET004753,2026-06-01 11:56:00,U1013,emily.smith,hr-portal.corp.local,INTERNAL,200311,WKSTN-U1013
NET031121,2026-06-01 12:12:00,U1077,kimberly.harris58,mail.corp.local,INTERNAL,29607,WKSTN-U1077
NET017924,2026-06-01 12:07:00,U1044,lisa.ramirez9,confluence.corp.local,INTERNAL,217372,WKSTN-U1044	
NET022335,2026-06-01 12:13:00,U1055,patricia.wilson54,jira.corp.local,INTERNAL,116272,WKSTN-U1055
NET001639,2026-06-01 12:27:00,U1005,robert.robinson,sharepoint.corp.local,INTERNAL,268728,WKSTN-U1005
NET029939,2026-06-01 12:08:00,U1074,sarah.williams7,mail.corp.local,INTERNAL,258816,WKSTN-U1074
NET022724,2026-06-01 12:03:00,U1056,anthony.clark,mail.corp.local,INTERNAL,422903,WKSTN-U1056
NET017127,2026-06-01 12:28:00,U1042,michael.hill56,hr-portal.corp.local,INTERNAL,466449,WKSTN-U1042
NET016739,2026-06-01 12:44:00,U1041,matthew.allen52,weather.com,EXTERNAL,15870,WKSTN-U1041
NET019139,2026-06-01 12:36:00,U1047,sandra.lewis,jira.corp.local,INTERNAL,,WKSTN-U1047
NET031508,2026-06-01 12:48:00,U1078,michelle.miller,  confluence.corp.local ,INTERNAL,388440,WKSTN-U1078
NET016315,2026-06-01 12:28:00,U1040,matthew.martin,confluence.corp.local,INTERNAL,142998,WKSTN-U1040
NET000017,2026-06-01 12:51:00,U1001,linda.johnson95,vpn.corp.local,INTERNAL,479930,WKSTN-U1001
NET040235,2026-06-01 12:43:00,U1098,nancy.wright49,sharepoint.corp.local,INTERNAL,347754,WKSTN-U1098
NET029139,2026-06-01 12:43:00,U1072,kenneth.lopez,jira.corp.local,INTERNAL,386244,WKSTN-U1072
NET005990,2026-06-01 12:41:00,U1016,patricia.thomas,  vpn.corp.local ,INTERNAL,21771,WKSTN-U1016
NET039420,2026-06-01 12:48:00,U1096,david.allen76,confluence.corp.local,INTERNAL,482128,WKSTN-U1096
NET029141,2026-06-01 12:57:00,U1072,kenneth.lopez,mail.corp.local,INTERNAL,183004,WKSTN-U1072
NET003599,2026-06-01 12:54:00,U1010,susan.young51,  confluence.corp.local ,INTERNAL,88361,WKSTN-U1010
NET017922,2026-06-01 12:56:00,U1044,lisa.ramirez9,confluence.corp.local,INTERNAL,318853,WKSTN-U1044
NET039421,2026-06-01 12:29:00,U1096,david.allen76,jira.corp.local,INTERNAL,352179,WKSTN-U1096
NET023898,2026-06-01 12:32:00,U1059,daniel.perez98,vpn.corp.local,INTERNAL,,WKSTN-U1059
NET034995,2026-06-01 12:27:00,U1086,steven.thompson53,sharepoint.corp.local,INTERNAL,99441,WKSTN-U1086
NET039833,2026-06-01 12:30:00,U1097,mark.martinez10,confluence.corp.local,INTERNAL,8018,WKSTN-U1097
NET036354,2026-06-01 12:27:00,U1089,paul.brown27,confluence.corp.local,INTERNAL,210623,WKSTN-U1089	
NET032783,2026-06-01 12:43:00,U1081,margaret.davis,jira.corp.local,INTERNAL,267425,WKSTN-U1081
NET004752,2026-06-01 12:37:00,U1013,emily.smith,confluence.corp.local,INTERNAL,73012,WKSTN-U1013
NET012305,2026-06-01 12:45:00,U1030,betty.rodriguez86	,jira.corp.local,INTERNAL,174107,WKSTN-U1030
NET033655,2026-06-01 12:32:00,U1083,sarah.allen70,mail.corp.local,INTERNAL,282423,WKSTN-U1083	
NET020312,2026-06-01 12:50:00,U1050,michael.ramirez,hr-portal.corp.local,INTERNAL,45492,WKSTN-U1050
NET032341,2026-06-01 12:51:00,U1080,joseph.jackson91,mail.corp.local,INTERNAL,117320,WKSTN-U1080
NET005585,2026-06-01 12:53:00,U1015,lisa.hernandez,linkedin.com,EXTERNAL,5614,WKSTN-U1015
NET018323,2026-06-01 13:27:00,U1045,daniel.sanchez90,,INTERNAL,267781,WKSTN-U1045
NET008280,2026-06-01 12:58:00,U1021,jessica.walker,confluence.corp.local,INTERNAL,168974,WKSTN-U1021
NET025914,2026-06-01 13:28:00,U1064,matthew.wright55,hr-portal.corp.local,INTERNAL,162130,WKSTN-U1064
NET033213,2026-06-01 13:13:00,U1082,karen.hill96,mail.corp.local,INTERNAL,303165,WKSTN-U1082
NET014347,2026-06-01 13:23:00,U1035,nancy.rodriguez82,sharepoint.corp.local,INTERNAL,34841,WKSTN-U1035
NET040624,2026-06-01 13:05:00,U1099,joseph.garcia,mail.corp.local,INTERNAL,220020,
NET014348,2026-06-01 13:34:00,U1035,nancy.rodriguez82,,INTERNAL,115818,WKSTN-U1035
NET007835,2026-06-01 13:35:00,U1020,andrew.thomas36,confluence.corp.local,INTERNAL,247034,WKSTN-U1020
NET011443,2026-06-01 13:03:00,U1028,john.hill,hr-portal.corp.local,INTERNAL,173391,WKSTN-U1028
NET039831,2026-06-01 13:22:00,U1097,mark.martinez10,sharepoint.corp.local,INTERNAL,92494,WKSTN-U1097
NET038598,2026-06-01 13:11:00,U1094,elizabeth.lewis69,confluence.corp.local,INTERNAL,299036,WKSTN-U1094
NET023895,2026-06-01 13:10:00,U1059,daniel.perez98,jira.corp.local,INTERNAL,390373,WKSTN-U1059
NET026755,2026-06-01 12:59:00,U1066,MICHELLE.WRIGHT62,jira.corp.local,INTERNAL,40177,WKSTN-U1066
NET018325,2026-06-01 13:21:00,U1045,daniel.sanchez90,sharepoint.corp.local,INTERNAL,215599,WKSTN-U1045
NET037706,2026-06-01 13:22:00,U1092,steven.thomas,vpn.corp.local,INTERNAL,83604,WKSTN-U1092
NET023119,2026-06-01 13:04:00,U1057,nancy.sanchez,jira.corp.local,INTERNAL,306896,WKSTN-U1057
NET026753,2026-06-01 13:29:00,U1066,michelle.wright62,vpn.corp.local,INTERNAL,322872,WKSTN-U1066
NET015542,2026-06-01 12:59:00,U1038,emily.clark,jira.corp.local,INTERNAL,341655,WKSTN-U1038
NET000830,2026-06-01 13:09:00,U1003,kenneth.clark29,jira.corp.local,INTERNAL,445586,WKSTN-U1003
NET010969,2026-06-01 13:13:00,U1027,patricia.brown75,mail.corp.local,INTERNAL,339684,WKSTN-U1027
NET010526,2026-06-01 13:15:00,U1026,elizabeth.gonzalez,news.com,EXTERNAL,-1,WKSTN-U1026
NET014737,2026-06-01 13:27:00,U1036,linda.jones,mail.corp.local,INTERNAL,289678,WKSTN-U1036
NET023896,2026-06-01 13:30:00,U1059,daniel.perez98,confluence.corp.local,INTERNAL,117090,WKSTN-U1059
NET013565,2026-06-01 13:11:00,U1033,linda.miller,jira.corp.local,INTERNAL,17404,WKSTN-U1033
NET017125,2026-06-01 13:05:00,U1042,michael.hill56,hr-portal.corp.local,INTERNAL,158700,WKSTN-U1042
NET023508,2026-06-01 13:43:00,U1058,jennifer.ramirez18,jira.corp.local,INTERNAL,295343,WKSTN-U1058
NET040991,2026-06-01 13:36:00,U1100,daniel.brown38,sharepoint.corp.local,INTERNAL,427905,WKSTN-U1100
NET010077,2026-06-01 13:49:00,U1025,betty.brown22,mail.corp.local,INTERNAL,42837,WKSTN-U1025
NET037265,2026-06-01 13:39:00,U1091,linda.robinson,hr-portal.corp.local,INTERNAL,52526,WKSTN-U1091
NET039022,2026-06-01 13:54:00,U1095,richard.thomas74	,jira.corp.local,INTERNAL,456158,WKSTN-U1095
NET017124,2026-06-01 14:05:00,U1042,michael.hill56,hr-portal.corp.local,INTERNAL,351476,WKSTN-U1042
NET003955,2026-06-01 14:04:00,U1011,donna.ramirez75,vpn.corp.local,INTERNAL,371958,WKSTN-U1011
NET003600,2026-06-01 13:51:00,U1010,susan.young51,sharepoint.corp.local,INTERNAL,-122538.0,WKSTN-U1010
NET002435,2026-06-01 13:56:00,U1007,sarah.robinson82,hr-portal.corp.local,INTERNAL,449718,WKSTN-U1007
NET003185,2026-06-01 13:46:00,U1009,daniel.brown,sharepoint.corp.local,INTERNAL,322834,WKSTN-U1009
NET022723,2026-06-01 13:59:00,U1056,anthony.clark,vpn.corp.local,INTERNAL,210367,WKSTN-U1056
NET025528,2026-06-01 13:44:00,U1063,john.nguyen,confluence.corp.local,INTERNAL,136740,WKSTN-U1063
