event_id,timestamp,user_id,username,event_type,status,source_ip,geo_country,device
AUTH012731,2026-06-01 09:00:00,U1031,john.wright28,LOGIN,SUCCESS,10.3.182.206,US,WKSTN-U1031
AUTH000002,2026-06-01 08:20:00,U1001,linda.johnson95,LOGIN,SUCCESS,10.0.238.232,US,WKSTN-U1001
AUTH022708,2026-06-01 08:50:00,U1056,anthony.clark,LOGIN,SUCCESS,10.3.228.181,US,WKSTN-U1056
AUTH025901,2026-06-01 08:20:00,U1064,matthew.wright55,LOGIN,SUCCESS,10.3.58.157,IN,WKSTN-U1064
AUTH036333,2026-06-01 08:30:00,U1089,paul.brown27,LOGIN,SUCCESS,10.3.127.120,US,WKSTN-U1089
AUTH004319,2026-06-01 09:10:00,U1012,linda.martinez,LOGIN,success,10.0.226.71,US,WKSTN-U1012
AUTH020293,2026-06-01 09:05:00,U1050,michael.ramirez,LOGIN,SUCCESS,10.2.248.221,US,WKSTN-U1050
AUTH001236,2026-06-01 09:10:00,U1004,elizabeth.wilson98,LOGIN,SUCCESS,10.0.8.38,US,WKSTN-U1004
AUTH020705,2026-06-01 09:15:00,U1051,sandra.king72,LOGIN,SUCCESS,10.2.207.52,IN,WKSTN-U1051
AUTH006423,2026-06-01 09:05:00,U1017,emily.hernandez34,LOGIN,SUCCESS,10.3.77.109,US,WKSTN-U1017
AUTH033195,2026-06-01 09:15:00,U1082,karen.hill96,LOGIN,SUCCESS,10.1.8.250,US,WKSTN-U1082
AUTH007378,2026-06-01 09:15:00,U1019,donna.anderson,LOGIN,SUCCESS,10.1.127.213,IN,WKSTN-U1019
AUTH028319,2026-06-01 09:05:00,U1070,betty.thomas40,LOGIN,SUCCESS,10.1.214.46,US,WKSTN-U1070
AUTH006922,2026-06-01 09:05:00,U1018,betty.white57,LOGIN,SUCCESS,10.0.100.247,IN,WKSTN-U1018
AUTH003579,2026-06-01 09:25:00,U1010,susan.young51	,LOGIN,SUCCESS,10.3.198.216,US,WKSTN-U1010
AUTH010503,2026-06-01 09:10:00,U1026,elizabeth.gonzalez,LOGIN,SUCCESS,10.1.58.159,US,WKSTN-U1026
AUTH039814,2026-06-01 09:30:00,U1097,mark.martinez10,LOGIN,SUCCESS,10.2.212.57,in,WKSTN-U1097
AUTH021491,2026-06-01 09:15:00,U1053,john.jackson31,LOGIN,SUCCESS,10.1.168.213,US,WKSTN-U1053
AUTH003944,2026-06-01 09:15:00,U1011,donna.ramirez75,LOGIN,SUCCESS,10.1.130.231,US,WKSTN-U1011
AUTH027497,2026-06-01 09:25:00,U1068,susan.thompson34,LOGIN,SUCCESS,10.3.222.179,US,WKSTN-U1068
AUTH024295,2026-06-01 09:30:00,U1060,matthew.anderson,,SUCCESS,10.3.197.8,US,WKSTN-U1060
AUTH039401,2026-06-01 09:10:00,U1096,david.allen76,LOGIN,SUCCESS,10.0.232.62,US,WKSTN-U1096
AUTH029924,2026-06-01 09:15:00,U1074,sarah.williams7,LOGIN,SUCCESS,10.1.122.199,US,WKSTN-U1074
AUTH025109,2026-06-01 09:10:00,U1062,william.martin,LOGIN,SUCCESS,10.3.24.130,US,WKSTN-U1062
AUTH030715,2026-06-01 09:10:00,U1076,john.torres,LOGIN,SUCCESS,10.0.3.135,US,WKSTN-U1076
AUTH000397,2026-06-01 09:45:00,U1002,donna.ramirez,LOGIN,SUCCESS,10.0.127.170,US,WKSTN-U1002
AUTH032325,2026-06-01 09:05:00,U1080,joseph.jackson91,LOGIN,SUCCESS,10.1.61.43,US,WKSTN-U1080
AUTH013548,2026-06-01 09:30:00,U1033,linda.miller,LOGIN,SUCCESS,10.0.80.182,US,WKSTN-U1033
AUTH010057,2026-06-01 09:20:00,U1025,betty.brown22,LOGIN,SUCCESS,10.1.201.55,US,WKSTN-U1025
AUTH035865,2026-06-01 09:40:00,U1088,andrew.smith85,LOGIN,SUCCESS,10.3.80.49,US,WKSTN-U1088
AUTH020706,2026-06-01 17:00:00,U1051,  sandra.king72 ,LOGOUT,SUCCESS,10.3.253.106,IN,WKSTN-U1051
AUTH012732,2026-06-01 17:15:00,U1031,john.wright28	,,SUCCESS,10.2.92.147,US,WKSTN-U1031
AUTH001237,2026-06-01 17:00:00,U1004,elizabeth.wilson98,LOGOUT,SUCCESS,10.3.69.23,US,WKSTN-U1004
AUTH008710,2026-06-01 17:30:00,U1022,sandra.brown,LOGOUT,SUCCESS,10.1.148.92,US,WKSTN-U1022
AUTH004738,2026-06-01 17:00:00,U1013,emily.smith,LOGOUT,SUCCESS,10.2.12.200,US,
AUTH003945,2026-06-01 17:15:00,U1011,donna.ramirez75,LOGOUT,,10.2.26.211,US,WKSTN-U1011
AUTH007816,2026-06-01 17:15:00,U1020,andrew.thomas36,LOGOUT,SUCCESS,10.1.74.132,US,WKSTN-U1020
AUTH025110,2026-06-01 17:15:00,U1062,william.martin,LOGOUT,SUCCESS,10.3.23.145,us,WKSTN-U1062
AUTH029535,2026-06-01 17:00:00,U1073,michael.gonzalez,LOGOUT,SUCCESS,10.1.162.191,IN,WKSTN-U1073
AUTH040611,2026-06-01 09:50:00,U1099,joseph.garcia,LOGIN,SUCCESS,10.1.215.110,US,WKSTN-U1099
AUTH031906,2026-06-01 17:15:00,U1079,emily.jones,LOGOUT,,10.0.225.72,,WKSTN-U1079
AUTH019538,2026-06-01 09:45:00,U1048,jennifer.thomas87,LOGIN,SUCCESS,10.2.136.172,US,WKSTN-U1048
AUTH033196,2026-06-01 17:30:00,U1082,  KAREN.HILL96 ,LOGOUT,SUCCESS,10.1.165.35,IN,WKSTN-U1082
AUTH018710,2026-06-01 17:30:00,U1046,michelle.torres39,LOGOUT,SUCCESS,10.0.101.148,US,WKSTN-U1046
AUTH028320,2026-06-01 17:00:00,U1070,betty.thomas40,LOGOUT,SUCCESS,10.0.64.103,US,WKSTN-U1070
AUTH036334,2026-06-01 17:15:00,U1089,paul.brown27,LOGOUT,SUCCESS,10.3.245.201,US,WKSTN-U1089
AUTH006424,2026-06-01 17:00:00,U1017,  emily.hernandez34 ,LOGOUT,SUCCESS,10.0.16.36,US,WKSTN-U1017
AUTH024684,2026-06-01 17:00:00,U1061,jessica.rodriguez,LOGOUT,SUCCESS,10.2.109.82,US,WKSTN-U1061
AUTH004320,2026-06-01 17:30:00,U1012,  linda.martinez ,LOGOUT,SUCCESS,10.0.115.216,US,WKSTN-U1012
AUTH021100,2026-06-01 17:00:00,U1052,paul.taylor,LOGOUT,SUCCESS,10.3.203.19,US,WKSTN-U1052
AUTH025902,2026-06-01 17:15:00,U1064,matthew.wright55,LOGOUT,SUCCESS,10.0.172.39,US,WKSTN-U1064
AUTH018309,2026-06-01 17:15:00,U1045,daniel.sanchez90,LOGOUT,SUCCESS,10.3.138.59,US,WKSTN-U1045
AUTH001627,2026-06-01 17:15:00,U1005,robert.robinson,LOGOUT,SUCCESS,10.2.78.32,,WKSTN-U1005
AUTH030716,2026-06-01 17:15:00,U1076,john.torres,LOGOUT,SUCCESS,10.2.204.203,US,WKSTN-U1076
AUTH040224,2026-06-01 17:30:00,U1098,nancy.wright49,LOGOUT,SUCCESS,10.3.41.17,IN,WKSTN-U1098
AUTH002022,2026-06-01 18:00:00,U1006,george.gonzalez,LOGOUT,SUCCESS,10.0.31.70,US,WKSTN-U1006
AUTH024296,2026-06-01 18:15:00,U1060,,LOGOUT,SUCCESS,10.3.0.169,US,WKSTN-U1060
AUTH028724,2026-06-01 18:00:00,U1071,matthew.robinson35,LOGOUT,SUCCESS,10.3.216.66,US,WKSTN-U1071
AUTH033636,2026-06-01 17:45:00,U1083,sarah.allen70,LOGOUT,SUCCESS,10.3.185.192,US,WKSTN-U1083
AUTH003580,2026-06-01 18:00:00,U1010,susan.young51,LOGOUT,SUCCESS,10.1.190.38,US,WKSTN-U1010
AUTH017518,2026-06-01 17:45:00,U1043,thomas.williams91,LOGOUT,SUCCESS,10.3.73.221,IN,WKSTN-U1043
AUTH015111,2026-06-01 17:45:00,U1037,robert.martin,LOGOUT,SUCCESS,10.3.100.39,US,WKSTN-U1037
AUTH014727,2026-06-01 18:15:00,U1036,linda.jones,LOGOUT,SUCCESS,10.1.137.95,US,WKSTN-U1036
AUTH002800,2026-06-01 18:00:00,U1008,joshua.hernandez,LOGOUT,SUCCESS,10.0.170.216,US,WKSTN-U1008
AUTH023882,2026-06-01 18:15:00,U1059,,LOGOUT,SUCCESS,10.1.142.85,US,WKSTN-U1059
AUTH003170,2026-06-01 18:15:00,U1009,daniel.brown,LOGOUT,SUCCESS,10.3.160.28,IN,WKSTN-U1009
AUTH032326,2026-06-01 18:00:00,U1080,joseph.jackson91,LOGOUT,SUCCESS,10.3.66.3,US,WKSTN-U1080
AUTH019907,2026-06-01 18:15:00,U1049,michelle.jones59,LOGOUT,SUCCESS,10.2.157.93,US,WKSTN-U1049
AUTH009164,2026-06-01 17:45:00,U1023,richard.wright,LOGOUT,SUCCESS,10.1.27.202,US,WKSTN-U1023
AUTH029125,2026-06-01 18:00:00,U1072,kenneth.lopez,LOGOUT,SUCCESS,10.2.155.24,US,WKSTN-U1072
AUTH010504,2026-06-01 17:45:00,U1026,elizabeth.gonzalez,LOGOUT,SUCCESS,10.2.0.48,US,WKSTN-U1026
AUTH005567,2026-06-01 18:15:00,U1015,lisa.hernandez,LOGOUT,SUCCESS,10.1.44.174,US,WKSTN-U1015
AUTH022709,2026-06-01 18:00:00,U1056,anthony.clark,LOGOUT,SUCCESS,10.2.135.245,US,
AUTH023106,2026-06-01 17:45:00,U1057,nancy.sanchez,LOGOUT,SUCCESS,10.1.219.143,US,  WKSTN-U1057 
AUTH023490,2026-06-01 18:15:00,U1058,jennifer.ramirez18,LOGOUT,SUCCESS,10.2.44.133,US,WKSTN-U1058
AUTH020294,2026-06-01 18:00:00,U1050,michael.ramirez,LOGOUT,SUCCESS,10.1.73.111,US,  WKSTN-U1050 
AUTH010950,2026-06-01 18:15:00,U1027,patricia.brown75,LOGOUT,SUCCESS,10.3.152.34,US,WKSTN-U1027
AUTH002418,2026-06-01 18:00:00,U1007,sarah.robinson82,LOGOUT,SUCCESS,10.3.152.180,US,WKSTN-U1007
AUTH005177,2026-06-01 18:00:00,U1014,james.taylor,LOGOUT,SUCCESS,10.0.56.148,US,WKSTN-U1014
AUTH027881,2026-06-01 18:15:00,U1069,jessica.clark,LOGOUT,SUCCESS,10.0.131.54,US,
AUTH000003,2026-06-01 18:30:00,U1001,  linda.johnson95 ,LOGOUT,,10.1.37.115,US,WKSTN-U1001
AUTH013549,2026-06-01 18:30:00,U1033,linda.miller,LOGOUT,success,10.1.42.218,IN,WKSTN-U1033
AUTH036771,2026-06-01 19:00:00,U1090,mary.hill,LOGOUT,SUCCESS,10.3.181.41,US,WKSTN-U1090
AUTH031103,2026-06-01 18:30:00,U1077,kimberly.harris58,LOGOUT,SUCCESS,10.2.181.26,US,WKSTN-U1077
AUTH009613,2026-06-01 19:00:00,U1024,emily.miller,LOGOUT,SUCCESS,10.0.51.194,US,WKSTN-U1024
AUTH037689,2026-06-01 19:00:00,U1092,steven.thomas,LOGOUT,SUCCESS,10.2.250.218,US,WKSTN-U1092
AUTH014330,2026-06-01 18:45:00,U1035,nancy.rodriguez82,LOGOUT,success,10.0.219.82,US,WKSTN-U1035
AUTH029925,2026-06-01 18:45:00,U1074,sarah.williams7,LOGOUT,SUCCESS,10.3.205.75,US,WKSTN-U1074
AUTH039815,2026-06-01 18:30:00,U1097,mark.martinez10,LOGOUT,SUCCESS,10.3.224.132,US,WKSTN-U1097
AUTH012290,2026-06-01 18:30:00,U1030,betty.rodriguez86,LOGOUT,SUCCESS,10.0.140.86,US,WKSTN-U1030
AUTH007379,2026-06-01 18:45:00,U1019,donna.anderson,LOGOUT,SUCCESS,10.0.113.65,US,WKSTN-U1019
AUTH032764,2026-06-01 18:45:00,U1081,margaret.davis,LOGOUT,SUCCESS,10.2.97.70,US,WKSTN-U1081
AUTH025508,2026-06-01 18:30:00,U1063,john.nguyen,LOGOUT,success,10.0.245.105,US,WKSTN-U1063
AUTH000821,2026-06-01 18:30:00,U1003,kenneth.clark29,LOGOUT,SUCCESS,10.3.228.93,US,  WKSTN-U1003 
AUTH017111,2026-06-01 19:00:00,U1042,michael.hill56,LOGOUT,SUCCESS,10.2.222.79,IN,WKSTN-U1042
AUTH039402,2026-06-01 18:45:00,U1096,david.allen76,LOGOUT,SUCCESS,10.0.135.169,US,WKSTN-U1096
AUTH040978,2026-06-01 19:00:00,U1100,daniel.brown38,LOGOUT,SUCCESS,10.3.183.196,US,WKSTN-U1100
AUTH039011,2026-06-01 18:30:00,U1095,richard.thomas74,LOGOUT,SUCCESS,10.2.213.9,US,WKSTN-U1095
AUTH010058,2026-06-01 18:45:00,U1025,betty.brown22,LOGOUT,SUCCESS,10.3.103.64,US,WKSTN-U1025
AUTH040612,2026-06-01 18:30:00,U1099,joseph.garcia,LOGOUT,SUCCESS,10.2.210.175,US,WKSTN-U1099
AUTH035866,2026-06-01 18:45:00,U1088,andrew.smith85,LOGOUT,SUCCESS,10.2.188.181,IN,
AUTH027113,2026-06-01 19:00:00,U1067,PAUL.THOMAS97,LOGOUT,SUCCESS,10.2.161.209,US,WKSTN-U1067
AUTH038580,2026-06-01 18:45:00,U1094,elizabeth.lewis69,LOGOUT,SUCCESS,10.3.105.155,,WKSTN-U1094
AUTH022321,2026-06-01 19:00:00,U1055,patricia.wilson54,LOGOUT,SUCCESS,10.1.244.2,US,WKSTN-U1055
AUTH005978,2026-06-01 18:30:00,U1016,patricia.thomas,LOGOUT,SUCCESS,10.3.147.172,US,WKSTN-U1016
AUTH021902,2026-06-01 19:00:00,U1054,anthony.martinez,LOGOUT,SUCCESS,10.3.213.28,US,WKSTN-U1054
AUTH034074,2026-06-01 19:45:00,U1084,joshua.taylor,LOGOUT,success,10.2.238.170,US,WKSTN-U1084
AUTH031496,2026-06-01 19:30:00,U1078,,LOGOUT,,10.0.33.106,US,WKSTN-U1078
AUTH034975,2026-06-01 19:15:00,U1086,steven.thompson53,LOGOUT,SUCCESS,10.2.134.15,US,WKSTN-U1086
AUTH035421,2026-06-01 19:30:00,U1087,charles.sanchez,LOGOUT,SUCCESS,10.2.110.187,IN,WKSTN-U1087
AUTH013937,2026-06-01 19:45:00,U1034,thomas.allen63,LOGOUT,SUCCESS,10.0.139.71,US,WKSTN-U1034
AUTH026293,2026-06-01 19:30:00,U1065,michael.ramirez47,LOGOUT,SUCCESS,10.3.20.122,IN,WKSTN-U1065
AUTH015530,2026-06-01 19:30:00,U1038,emily.clark,LOGOUT,SUCCESS,10.1.201.194,IN,WKSTN-U1038
AUTH016300,2026-06-01 19:00:00,U1040,matthew.martin,LOGOUT,SUCCESS,10.3.178.108,US,WKSTN-U1040
AUTH027498,2026-06-01 19:15:00,U1068,susan.thompson34,LOGOUT,SUCCESS,10.2.192.46,US,WKSTN-U1068
AUTH038139,2026-06-01 19:15:00,U1093,sarah.clark44,LOGOUT,SUCCESS,10.1.65.118,US,WKSTN-U1093
AUTH000398,2026-06-01 19:00:00,U1002,donna.ramirez,LOGOUT,SUCCESS,10.1.22.146,US,WKSTN-U1002
AUTH026735,2026-06-01 19:15:00,U1066,MICHELLE.WRIGHT62,LOGOUT,SUCCESS,10.3.134.117,US,WKSTN-U1066
AUTH016720,2026-06-01 19:30:00,U1041,matthew.allen52,LOGOUT,SUCCESS,10.0.164.77,IN,  WKSTN-U1041 
AUTH011852,2026-06-01 19:15:00,U1029,michelle.garcia54	,LOGOUT,SUCCESS,10.3.249.18,US,WKSTN-U1029
AUTH021492,2026-06-01 19:00:00,U1053,john.jackson31,LOGOUT,SUCCESS,,US,WKSTN-U1053
AUTH011427,2026-06-01 19:30:00,U1028,john.hill,LOGOUT,SUCCESS,10.2.166.160,US,WKSTN-U1028
AUTH017911,2026-06-01 19:00:00,U1044,lisa.ramirez9,LOGOUT,SUCCESS,10.3.251.40,US,WKSTN-U1044
AUTH013141,2026-06-01 19:30:00,U1032,paul.wright91,LOGOUT,SUCCESS,10.2.122.207,US,WKSTN-U1032
AUTH019539,2026-06-01 19:30:00,U1048,jennifer.thomas87,,SUCCESS,10.2.174.16,US,WKSTN-U1048
AUTH008260,2026-06-01 19:15:00,U1021,jessica.walker,LOGOUT,SUCCESS,10.3.111.175,US,WKSTN-U1021
AUTH006923,2026-06-01 19:00:00,U1018,betty.white57,LOGOUT,SUCCESS,10.0.132.223,US,WKSTN-U1018
AUTH030336,2026-06-01 19:30:00,U1075,steven.lewis,LOGOUT,SUCCESS,10.2.120.75,US,WKSTN-U1075
AUTH034539,2026-06-01 19:30:00,U1085,barbara.walker67,LOGOUT,SUCCESS,10.1.58.64,US,WKSTN-U1085
AUTH019125,2026-06-01 19:00:00,U1047,sandra.lewis,LOGOUT,SUCCESS,10.3.0.50,US,WKSTN-U1047
AUTH032344,2026-06-02 07:15:00,U1080,joseph.jackson91,LOGIN,SUCCESS,10.3.249.66,,WKSTN-U1080
AUTH008730,2026-06-02 07:10:00,U1022,sandra.brown,LOGIN,SUCCESS,10.0.16.158,US,WKSTN-U1022
AUTH037246,2026-06-01 19:45:00,U1091,linda.robinson,LOGOUT,SUCCESS,10.1.233.204,US,WKSTN-U1091
AUTH033657,2026-06-02 07:10:00,U1083,sarah.allen70,LOGIN,SUCCESS,10.0.88.184,US,WKSTN-U1083
AUTH038600,2026-06-02 07:05:00,U1094,elizabeth.lewis69,LOGIN,SUCCESS,10.0.21.246,US,WKSTN-U1094
AUTH034091,2026-06-02 07:15:00,U1084,joshua.taylor,LOGIN,SUCCESS,10.0.99.243,US,WKSTN-U1084
AUTH014739,2026-06-02 07:05:00,U1036,linda.jones,LOGIN,SUCCESS,10.2.146.100,IN,WKSTN-U1036
AUTH009185,2026-06-02 07:25:00,U1023,richard.wright,LOGIN,SUCCESS,10.2.23.225,US,WKSTN-U1023
AUTH026312,2026-06-02 07:10:00,U1065,michael.ramirez47,LOGIN,SUCCESS,10.0.237.60,US,WKSTN-U1065
AUTH015930,2026-06-01 19:45:00,U1039,mark.thomas,LOGOUT,SUCCESS,10.0.68.137,US,WKSTN-U1039
AUTH020313,2026-06-02 07:00:00,U1050,michael.ramirez,LOGIN,SUCCESS,10.0.26.64,US,WKSTN-U1050
AUTH035441,2026-06-02 07:30:00,U1087,charles.sanchez,LOGIN,SUCCESS,,US,WKSTN-U1087
AUTH025918,2026-06-02 07:30:00,U1064,matthew.wright55,LOGIN,success,10.0.246.81,US,WKSTN-U1064
AUTH002436,2026-06-02 07:05:00,U1007,sarah.robinson82,LOGIN,SUCCESS,10.1.6.173,US,WKSTN-U1007
AUTH040992,2026-06-02 07:05:00,U1100,daniel.brown38,LOGIN,SUCCESS,10.3.157.245,IN,WKSTN-U1100
