event_id,timestamp,user_id,username,device,process_name,action,cpu_pct,mem_mb
EP000822,2026-06-01 08:59:00,U1003,kenneth.clark29,WKSTN-U1003,teams.exe,PROCESS_START,3.8,367
EP031106,2026-06-01 09:08:00,U1077,  kimberly.harris58 ,WKSTN-U1077,notepad.exe,PROCESS_START,28.7,372
EP038142,2026-06-01 09:04:00,U1093,sarah.clark44,WKSTN-U1093,chrome.exe,PROCESS_START,32.1,424
EP017113,2026-06-01 09:07:00,U1042,michael.hill56,WKSTN-U1042,chrome.exe,PROCESS_START,20.2,177
EP040227,2026-06-01 09:04:00,U1098,nancy.wright49,WKSTN-U1098,Excel,PROCESS_START,N/A,261
EP022324,2026-06-01 09:15:00,U1055,patricia.wilson54,WKSTN-U1055,chrome.exe,PROCESS_START,33.1,693
EP001632,2026-06-01 08:51:00,U1005,robert.robinson,WKSTN-U1005,explorer.exe,PROCESS_START,28.6,708
EP005178,2026-06-01 09:23:00,U1014,james.taylor,WKSTN-U1014,explorer.exe,PROCESS_START,11.2,131
EP021905,2026-06-01 09:03:00,U1054,anthony.martinez,WKSTN-U1054,Excel,PROCESS_START,2.7,173
EP023886,2026-06-01 09:11:00,U1059,daniel.perez98,WKSTN-U1059,teams.exe,,31.3,106
EP007822,2026-06-01 08:57:00,U1020,andrew.thomas36,WKSTN-U1020,Jenkins,PROCESS_START,24.6,610
EP008264,2026-06-01 08:51:00,U1021,jessica.walker,WKSTN-U1021,teams.exe,PROCESS_START,24.3,110
EP033198,2026-06-01 09:26:00,U1082,karen.hill96,WKSTN-U1082,teams.exe,PROCESS_START,17.3,856
EP025512,2026-06-01 09:00:00,U1063,,WKSTN-U1063,Word,PROCESS_START,6.0,808
EP002023,2026-06-01 08:54:00,U1006,george.gonzalez,WKSTN-U1006,Outlook,process_start,18.8,87
EP023491,2026-06-01 08:56:00,U1058,jennifer.ramirez18,WKSTN-U1058	,Zoom,PROCESS_START,1.7,855
EP012735,2026-06-01 09:07:00,U1031,john.wright28,WKSTN-U1031,Chrome,PROCESS_START,27.5,678
EP004739,2026-06-01 09:24:00,U1013,emily.smith,WKSTN-U1013,Chrome,PROCESS_START,20.1,547
EP001629,2026-06-01 09:12:00,U1005,robert.robinson,WKSTN-U1005,notepad.exe,PROCESS_START,23.6,456
EP025509,2026-06-01 08:49:00,U1063,john.nguyen,WKSTN-U1063,DocuSign,PROCESS_START,31.6,204
EP009165,2026-06-01 09:00:00,U1023,richard.wright,WKSTN-U1023,Git	,PROCESS_START,34.2,396
EP008265,2026-06-01 09:15:00,U1021,jessica.walker,WKSTN-U1021,Docker Desktop,PROCESS_START,1.4,526
EP011856,2026-06-01 08:52:00,U1029,michelle.garcia54,WKSTN-U1029,explorer.exe,PROCESS_START,6.4,787
EP032765,2026-06-01 09:43:00,U1081,  margaret.davis ,WKSTN-U1081,Wireshark,PROCESS_START,21.0,295
EP011429,2026-06-01 09:27:00,U1028,john.hill,WKSTN-U1028,teams.exe	,PROCESS_START,4.4,153
EP027883,2026-06-01 09:50:00,U1069,jessica.clark,WKSTN-U1069,Word	,PROCESS_START,16.8,582
EP031105,2026-06-01 09:47:00,U1077,kimberly.harris58,WKSTN-U1077	,outlook.exe,PROCESS_START,33.3,93
EP034978,2026-06-01 09:57:00,U1086,steven.thompson53,WKSTN-U1086,Slack,PROCESS_START,9.1,376
EP013553,2026-06-01 09:31:00,U1033,linda.miller,WKSTN-U1033,Excel,PROCESS_START,11.0,337
EP034976,2026-06-01 09:32:00,U1086,steven.thompson53,WKSTN-U1086	,  Slack ,PROCESS_START,31.3,253
EP020298,2026-06-01 09:28:00,U1050,michael.ramirez,  WKSTN-U1050 ,notepad.exe,PROCESS_START,5.1,316
EP023887,2026-06-01 09:52:00,U1059,daniel.perez98,WKSTN-U1059,chrome.exe,,22.6,817
EP002421,2026-06-01 09:36:00,U1007,sarah.robinson82,WKSTN-U1007,EXCEL,PROCESS_START,34.8,784
EP023492,2026-06-01 09:36:00,U1058,jennifer.ramirez18,WKSTN-U1058,notepad.exe,process_start,10.3,349
EP000824,2026-06-01 09:44:00,U1003,kenneth.clark29,WKSTN-U1003,Excel,PROCESS_START,25.7,99
EP040225,2026-06-01 09:26:00,U1098,nancy.wright49,WKSTN-U1098,chrome.exe,PROCESS_START,33.8,556
EP009166,2026-06-01 09:45:00,U1023,richard.wright,WKSTN-U1023,Jenkins,PROCESS_START,23.0,514
EP034078,2026-06-01 09:43:00,U1084,joshua.taylor,WKSTN-U1084,notepad.exe,PROCESS_START,11.1,180
EP036337,2026-06-01 09:37:00,U1089,paul.brown27,WKSTN-U1089,Terminal,PROCESS_START,24.4,410
EP019909,2026-06-01 09:30:00,U1049,michelle.jones59,WKSTN-U1049,CHROME,PROCESS_START,24.7,631
EP025513,2026-06-01 09:51:00,U1063,john.nguyen,WKSTN-U1063,teams.exe,PROCESS_START,17.8,523
EP013146,2026-06-01 09:59:00,U1032,paul.wright91,WKSTN-U1032,Outlook,PROCESS_START,19.9,253
EP003586,2026-06-01 09:36:00,U1010,susan.young51,WKSTN-U1010,explorer.exe,PROCESS_START,20.4,448000.0
EP016304,2026-06-01 09:50:00,U1040,matthew.martin,WKSTN-U1040,Chrome,PROCESS_START,13.7,325
EP018713,2026-06-01 09:47:00,U1046,michelle.torres39,WKSTN-U1046	,explorer.exe,PROCESS_START,3.8,863
EP001633,2026-06-01 09:40:00,U1005,robert.robinson,WKSTN-U1005,explorer.exe,PROCESS_START,22.4,175
EP011431,2026-06-01 09:38:00,U1028,john.hill,WKSTN-U1028,,PROCESS_START,18.4,407
EP033200,2026-06-01 09:43:00,U1082,karen.hill96,WKSTN-U1082,PuTTY,PROCESS_START,8.6,463
EP027116,2026-06-01 10:11:00,U1067,paul.thomas97,  WKSTN-U1067 ,Chrome,PROCESS_START,2.0,628
EP028728,2026-06-01 10:16:00,U1071,,WKSTN-U1071,Outlook,PROCESS_START,,374
EP030338,2026-06-01 10:28:00,U1075,steven.lewis,WKSTN-U1075,DocuSign,PROCESS_START,31.8,676
EP030339,2026-06-01 10:05:00,U1075,  steven.lewis ,WKSTN-U1075,explorer.exe,PROCESS_START,15.6,734
EP017114,2026-06-01 10:20:00,U1042,michael.hill56,WKSTN-U1042,Chrome,PROCESS_START,8.6,447
EP013143,2026-06-01 10:14:00,U1032,paul.wright91,WKSTN-U1032,Workday,PROCESS_START,23.5,477
EP035868,2026-06-01 10:18:00,U1088,andrew.smith85,WKSTN-U1088,Terminal,PROCESS_START,9.0,231
EP016725,2026-06-01 10:25:00,U1041,matthew.allen52,WKSTN-U1041,outlook.exe,process_start,2.0,727
EP017914,2026-06-01 10:15:00,U1044,,WKSTN-U1044,EXPLORER.EXE,PROCESS_START,8.9,103
EP026739,2026-06-01 10:29:00,U1066,michelle.wright62,WKSTN-U1066,Chrome,,10.0,603
EP031497,2026-06-01 10:11:00,U1078,michelle.miller,WKSTN-U1078,Word,PROCESS_START,26.3,287
EP002025,2026-06-01 10:21:00,U1006,george.gonzalez,WKSTN-U1006,chrome.exe,PROCESS_START,17.1,425
EP011430,2026-06-01 10:23:00,U1028,john.hill,WKSTN-U1028,notepad.exe,PROCESS_START,11.5,235
EP039403,2026-06-01 10:01:00,U1096,david.allen76,WKSTN-U1096,chrome.exe,PROCESS_START,29.8,233
EP018711,2026-06-01 10:30:00,U1046,michelle.torres39,WKSTN-U1046,teams.exe,PROCESS_START,21.6,274
EP030337,2026-06-01 10:21:00,U1075,steven.lewis,WKSTN-U1075,Outlook,PROCESS_START,25.1,777
EP008712,2026-06-01 10:35:00,U1022,sandra.brown,WKSTN-U1022,,PROCESS_START,15.4,651
EP010507,2026-06-01 10:09:00,U1026,elizabeth.gonzalez,WKSTN-U1026,OUTLOOK.EXE,PROCESS_START,10.9,407
EP025112,2026-06-01 10:20:00,U1062,william.martin,WKSTN-U1062,chrome.exe,PROCESS_START,9.8,622
EP007819,2026-06-01 10:25:00,U1020,  andrew.thomas36 ,WKSTN-U1020,explorer.exe,PROCESS_START,26.0,628
EP038143,2026-06-01 10:32:00,U1093,sarah.clark44,WKSTN-U1093,outlook.exe,PROCESS_START,32.3,895
EP027114,2026-06-01 10:22:00,U1067,paul.thomas97,WKSTN-U1067,Word,PROCESS_START,27.9,810
EP007383,2026-06-01 10:33:00,U1019,donna.anderson,WKSTN-U1019,Chrome,PROCESS_START,26.8,339
EP011855,2026-06-01 10:04:00,U1029,michelle.garcia54,WKSTN-U1029,chrome.exe,PROCESS_START,17.8,692
EP020708,2026-06-01 10:12:00,U1051,sandra.king72,WKSTN-U1051,teams.exe,PROCESS_START,27.9,574
EP011853,2026-06-01 10:50:00,U1029,michelle.garcia54,WKSTN-U1029,chrome.exe,PROCESS_START,11.6,823
EP003581,2026-06-01 10:51:00,U1010,susan.young51,WKSTN-U1010,explorer.exe,PROCESS_START,8.0,401
EP031500,2026-06-01 10:43:00,U1078,michelle.miller,WKSTN-U1078,outlook.exe,PROCESS_START,11.4,163
EP007381,2026-06-01 11:01:00,U1019,donna.anderson,WKSTN-U1019,VSCode,PROCESS_START,7.1,315
EP000008,2026-06-01 10:51:00,U1001,linda.johnson95,WKSTN-U1001,SAP,PROCESS_START,34.3,754
EP017912,2026-06-01 10:50:00,U1044,lisa.ramirez9,WKSTN-U1044,chrome.exe,PROCESS_START,31.8,438
EP003174,2026-06-01 10:53:00,U1009,daniel.brown,WKSTN-U1009,Excel,PROCESS_START,33.4,255
EP038581,2026-06-01 11:06:00,U1094,elizabeth.lewis69,WKSTN-U1094,Active Directory Console,PROCESS_START,16.9,640
EP005980,2026-06-01 10:38:00,U1016,patricia.thomas,WKSTN-U1016,VSCode,PROCESS_START,20.6,741
EP003173,2026-06-01 11:05:00,U1009,daniel.brown,WKSTN-U1009,teams.exe,PROCESS_START,15.9,685
EP004742,2026-06-01 11:02:00,U1013,emily.smith,WKSTN-U1013,explorer.exe,PROCESS_START,11.4,637
EP006427,2026-06-01 10:57:00,U1017,emily.hernandez34,WKSTN-U1017,Docker Desktop,PROCESS_START,10.8,592
EP032767,2026-06-01 11:02:00,U1081,margaret.davis,WKSTN-U1081,Wireshark,PROCESS_START,22.2,499
EP036774,2026-06-01 10:41:00,U1090,mary.hill,WKSTN-U1090,chrome.exe	,PROCESS_START,14.0,840
EP012737,2026-06-01 11:06:00,U1031,john.wright28,WKSTN-U1031,outlook.exe,PROCESS_START,13.3,446
EP023494,2026-06-01 10:52:00,U1058,jennifer.ramirez18,WKSTN-U1058,Chrome,PROCESS_START,7.2,650
EP032330,2026-06-01 10:52:00,U1080,joseph.jackson91,WKSTN-U1080,Wireshark,,17.9,310
EP032328,2026-06-01 10:58:00,U1080,joseph.jackson91,WKSTN-U1080,Chrome,PROCESS_START,9.5,531
EP025903,2026-06-01 10:46:00,U1064,matthew.wright55,WKSTN-U1064,teams.exe,process_start,18.5,157
EP027882,2026-06-01 10:47:00,U1069,jessica.clark,WKSTN-U1069,Chrome,PROCESS_START,11.3,578
EP031909,2026-06-01 11:04:00,U1079,emily.jones,WKSTN-U1079,notepad.exe,PROCESS_START,20.3,789
EP027886,2026-06-01 11:01:00,U1069,JESSICA.CLARK,WKSTN-U1069,Word,PROCESS_START,33.0,555
EP019908,2026-06-01 10:51:00,U1049,michelle.jones59,WKSTN-U1049,Zoom,PROCESS_START,22.3,364
EP028726,2026-06-01 10:39:00,U1071,matthew.robinson35,,teams.exe,PROCESS_START,13.5,299
EP034544,2026-06-01 10:47:00,U1085,barbara.walker67,WKSTN-U1085,PuTTY,PROCESS_START,5.5,204
EP013145,2026-06-01 11:18:00,U1032,paul.wright91,WKSTN-U1032,outlook.exe,PROCESS_START,34.5,133
EP014728,2026-06-01 11:12:00,U1036,linda.jones,WKSTN-U1036,OUTLOOK.EXE,PROCESS_START,14.6,778
EP031910,2026-06-01 11:24:00,U1079,emily.jones,WKSTN-U1079,chrome.exe,PROCESS_START,13.8,593
EP021495,2026-06-01 11:23:00,U1053,JOHN.JACKSON31,WKSTN-U1053,Outlook,PROCESS_START,15.1,110
EP002024,2026-06-01 11:17:00,U1006,george.gonzalez,WKSTN-U1006,teams.exe,PROCESS_START,-18.7,-859.0
EP007380,2026-06-01 11:36:00,U1019,donna.anderson,WKSTN-U1019,DOCKER DESKTOP,PROCESS_START,9.5,
EP003172,2026-06-01 11:08:00,U1009,daniel.brown,WKSTN-U1009,Chrome,PROCESS_START,20.5,134
EP001243,2026-06-01 11:11:00,U1004,elizabeth.wilson98,  WKSTN-U1004 ,outlook.exe,PROCESS_START,10.2,639
EP019910,2026-06-01 11:34:00,U1049,michelle.jones59,WKSTN-U1049,,PROCESS_START,34.1,402
EP027501,2026-06-01 11:15:00,U1068,susan.thompson34,WKSTN-U1068,outlook.exe,PROCESS_START,6.9,317
EP024298,2026-06-01 11:16:00,U1060,matthew.anderson,WKSTN-U1060,,PROCESS_START,26.0,778
EP005569,2026-06-01 11:14:00,U1015,,WKSTN-U1015,notepad.exe,PROCESS_START,27.4,705
EP031502,2026-06-01 11:24:00,U1078,michelle.miller	,WKSTN-U1078,Word,PROCESS_START,34.6,262
EP015936,2026-06-01 11:07:00,U1039,mark.thomas,WKSTN-U1039,Outlook,PROCESS_START,8.2,154
EP003585,2026-06-01 11:29:00,U1010,susan.young51,WKSTN-U1010,Excel,PROCESS_START,16.4,899
EP024689,2026-06-01 11:10:00,U1061,jessica.rodriguez,WKSTN-U1061,explorer.exe,PROCESS_START,17.3,294
EP031907,2026-06-01 11:12:00,U1079,emily.jones,WKSTN-U1079,notepad.exe,PROCESS_START,12.9,230
EP020707,2026-06-01 11:35:00,U1051,sandra.king72,WKSTN-U1051,Outlook,PROCESS_START,23.4,233
EP015114,2026-06-01 11:26:00,U1037,robert.martin,WKSTN-U1037,explorer.exe,PROCESS_START,29.1,343
EP021104,2026-06-01 11:08:00,U1052,paul.taylor,WKSTN-U1052,Salesforce,PROCESS_START,2.2,256
EP016306,2026-06-01 11:19:00,U1040,matthew.martin,WKSTN-U1040,Excel,PROCESS_START,5.3,777
EP015935,2026-06-01 11:21:00,U1039,mark.thomas,WKSTN-U1039,teams.exe,PROCESS_START,24.3,708
EP019127,2026-06-01 11:11:00,U1047,sandra.lewis,WKSTN-U1047,Excel,PROCESS_START,1.9,104
EP039818,2026-06-01 11:07:00,U1097,mark.martinez10,WKSTN-U1097,explorer.exe,PROCESS_START,7.6,409
EP029537,2026-06-01 11:30:00,U1073,michael.gonzalez,WKSTN-U1073,explorer.exe,PROCESS_START,17.6,481
EP027118,2026-06-01 11:47:00,U1067,paul.thomas97,WKSTN-U1067,explorer.exe,PROCESS_START,22.0,651
EP008263,2026-06-01 11:45:00,U1021,jessica.walker,WKSTN-U1021,Docker Desktop,PROCESS_START,28.1,878
EP010506,2026-06-01 11:50:00,U1026,elizabeth.gonzalez,WKSTN-U1026,VSCode,PROCESS_START,12.0,248
EP035871,2026-06-01 11:37:00,U1088,andrew.smith85,WKSTN-U1088,outlook.exe,PROCESS_START,27.1,776
EP039407,2026-06-01 11:47:00,U1096,david.allen76,WKSTN-U1096,outlook.exe,PROCESS_START,33.5,294
EP026738,2026-06-01 11:55:00,U1066,michelle.wright62,WKSTN-U1066,chrome.exe,PROCESS_START,4.1,148
EP003583,2026-06-01 11:53:00,U1010,susan.young51,WKSTN-U1010,outlook,PROCESS_START,13.9,560
EP006925,2026-06-01 11:44:00,U1018,betty.white57,WKSTN-U1018,Jenkins	,PROCESS_START,4.5,702
EP012293,2026-06-01 11:52:00,U1030,betty.rodriguez86,WKSTN-U1030,Chrome,PROCESS_START,12.5,608
EP012738,2026-06-01 11:48:00,U1031,john.wright28,WKSTN-U1031,Chrome,PROCESS_START,14.6,385
EP018712,2026-06-01 11:37:00,U1046,michelle.torres39,WKSTN-U1046,chrome.exe,PROCESS_START,5.3,353
EP009617,2026-06-01 11:44:00,U1024,,  WKSTN-U1024 ,VSCode,PROCESS_START,4.3,119
EP000400,2026-06-01 11:57:00,U1002,donna.ramirez,WKSTN-U1002,Outlook,PROCESS_START,18.4,611
EP015531,2026-06-01 11:48:00,U1038,emily.clark,WKSTN-U1038,outlook.exe,PROCESS_START,24.3,810
EP036773,2026-06-01 11:52:00,U1090,mary.hill,WKSTN-U1090,  Chrome ,PROCESS_START,31.0,435
EP032766,2026-06-01 11:47:00,U1081,margaret.davis,WKSTN-U1081,explorer.exe,PROCESS_START,,83
EP040615,2026-06-01 11:51:00,U1099,joseph.garcia,WKSTN-U1099,Chrome,PROCESS_START,17.1,102
EP009615,2026-06-01 11:45:00,U1024,emily.miller,WKSTN-U1024,explorer.exe,PROCESS_START,15.9,152
EP024687,2026-06-01 11:58:00,U1061,jessica.rodriguez,  WKSTN-U1061 ,outlook.exe,PROCESS_START,26.5,763
EP020711,2026-06-01 11:52:00,U1051,sandra.king72,WKSTN-U1051,Excel,PROCESS_START,31.8,502
EP004744,2026-06-01 11:58:00,U1013,emily.smith,WKSTN-U1013,chrome.exe	,,21.2,396
EP038583,2026-06-01 11:58:00,U1094,elizabeth.lewis69	,WKSTN-U1094,Slack,PROCESS_START,5.2,858
EP034543,2026-06-01 11:45:00,U1085,barbara.walker67,WKSTN-U1085,Wireshark,PROCESS_START,35.0,429
EP037250,2026-06-01 11:38:00,U1091,linda.robinson,WKSTN-U1091,PuTTY,PROCESS_START,19.3,-898.0
EP017519,2026-06-01 11:49:00,U1043,thomas.williams91,WKSTN-U1043,WORKDAY,PROCESS_START,1.3,558
EP001631,2026-06-01 12:08:00,U1005,robert.robinson,WKSTN-U1005,Chrome,PROCESS_START,20.1,513
EP027884,2026-06-01 12:26:00,U1069,jessica.clark,WKSTN-U1069,Word,PROCESS_START,13.1,185
EP032329,2026-06-01 12:09:00,U1080,joseph.jackson91,WKSTN-U1080,notepad.exe,PROCESS_START,4.7,419
EP037693,2026-06-01 12:13:00,U1092,steven.thomas,WKSTN-U1092,chrome.exe,PROCESS_START,16.4,247
EP001241,2026-06-01 12:26:00,U1004,elizabeth.wilson98,WKSTN-U1004,notepad.exe,PROCESS_START,8.7,514
EP023885,2026-06-01 12:25:00,U1059,daniel.perez98,WKSTN-U1059,explorer.exe,PROCESS_START,34.6,421
EP012734,2026-06-01 12:09:00,U1031,john.wright28,WKSTN-U1031,notepad.exe,PROCESS_START,12.6,344
EP030717,2026-06-01 11:58:00,U1076,john.torres,WKSTN-U1076,DocuSign,PROCESS_START,34.1,293
EP036336,2026-06-01 12:11:00,U1089,paul.brown27,WKSTN-U1089	,Active Directory Console,PROCESS_START,15.5,471
EP014336,2026-06-01 12:20:00,U1035,nancy.rodriguez82,WKSTN-U1035,Chrome,PROCESS_START,27.0,663
EP019540,2026-06-01 12:14:00,U1048,,WKSTN-U1048,notepad.exe,PROCESS_START,8.6,513
EP005179,2026-06-01 12:06:00,U1014,james.taylor,WKSTN-U1014,teams.exe,PROCESS_START,26.1,862
EP003582,2026-06-01 12:25:00,U1010,susan.young51,WKSTN-U1010,explorer.exe,PROCESS_START,10.3,812
EP016726,2026-06-01 12:04:00,U1041,matthew.allen52,WKSTN-U1041,Chrome,PROCESS_START,6.0,132
EP031908,2026-06-01 12:20:00,U1079,emily.jones,WKSTN-U1079,chrome.exe,PROCESS_START,5.0,270
EP015112,2026-06-01 12:18:00,U1037,robert.martin,,explorer.exe,PROCESS_START,,777
EP022713,2026-06-01 12:17:00,U1056,anthony.clark,WKSTN-U1056,Outlook,PROCESS_START,17.4,161
EP015533,2026-06-01 12:14:00,U1038,emily.clark,WKSTN-U1038,outlook.exe,PROCESS_START,10.1,101
EP036775,2026-06-01 12:11:00,U1090,mary.hill,WKSTN-U1090,explorer.exe,PROCESS_START,13.3,808
EP027887,2026-06-01 12:14:00,U1069,jessica.clark,WKSTN-U1069,chrome.exe,PROCESS_START,30.7,680
EP039013,2026-06-01 12:10:00,U1095,richard.thomas74,WKSTN-U1095,Zoom,PROCESS_START,1.7,268
EP032331,2026-06-01 12:20:00,U1080,joseph.jackson91,WKSTN-U1080,Wireshark,PROCESS_START,10.3,430
EP015115,2026-06-01 12:18:00,U1037,robert.martin,WKSTN-U1037,Excel,PROCESS_START,6.2,108
EP037695,2026-06-01 12:25:00,U1092,steven.thomas	,WKSTN-U1092,Slack,PROCESS_START,25.8,246
EP026736,2026-06-01 12:18:00,U1066,michelle.wright62,WKSTN-U1066,chrome.exe,PROCESS_START,19.9,780
EP033640,2026-06-01 12:36:00,U1083,sarah.allen70,WKSTN-U1083,Terminal,PROCESS_START,25.6,304
EP002803,2026-06-01 12:33:00,U1008,joshua.hernandez,WKSTN-U1008,SAP,PROCESS_START,3.2,
EP004322,2026-06-01 12:46:00,U1012,linda.martinez,  WKSTN-U1012 ,teams.exe,PROCESS_START,23.5,712
EP025510,2026-06-01 12:43:00,U1063,john.nguyen,WKSTN-U1063,WORD,PROCESS_START,2.6,605
EP023109,2026-06-01 12:27:00,U1057,nancy.sanchez,WKSTN-U1057,Excel,PROCESS_START,8.0,875
EP027119,2026-06-01 12:28:00,U1067,paul.thomas97,WKSTN-U1067,Outlook,PROCESS_START,10.0,255
EP021103,2026-06-01 12:32:00,U1052,paul.taylor,WKSTN-U1052,explorer.exe,PROCESS_START,4.4,581
EP015931,2026-06-01 12:30:00,U1039,mark.thomas,WKSTN-U1039,explorer.exe,PROCESS_START,32.6,883
EP010059,2026-06-01 12:38:00,U1025,betty.brown22,WKSTN-U1025,VSCode,,4.5,241
EP017913,2026-06-01 12:39:00,U1044,lisa.ramirez9,WKSTN-U1044,Workday,PROCESS_START,23.6,515
EP013939,2026-06-01 12:40:00,U1034,thomas.allen63,WKSTN-U1034,Outlook,PROCESS_START,,271
EP008715,2026-06-01 12:32:00,U1022,sandra.brown,WKSTN-U1022,notepad.exe,PROCESS_START,18.3,653
EP010954,2026-06-01 12:38:00,U1027,patricia.brown75,WKSTN-U1027,outlook.exe,PROCESS_START,1.8,813
EP033642,2026-06-01 12:33:00,U1083,sarah.allen70,WKSTN-U1083,explorer.exe,PROCESS_START,8.2,498
EP004743,2026-06-01 12:45:00,U1013,emily.smith,WKSTN-U1013,explorer.exe,PROCESS_START,17.9,384
EP029127,2026-06-01 12:36:00,U1072,kenneth.lopez,WKSTN-U1072,Word,PROCESS_START,3.4,542
EP027885,2026-06-01 12:45:00,U1069,jessica.clark,WKSTN-U1069,teams.exe,PROCESS_START,32.1,783
EP008262,2026-06-01 12:31:00,U1021,jessica.walker,WKSTN-U1021	,Docker Desktop,PROCESS_START,26.8,770
EP011854,2026-06-01 12:47:00,U1029,michelle.garcia54,WKSTN-U1029,chrome.exe,PROCESS_START,16.5,93
EP026737,2026-06-01 12:29:00,U1066,michelle.wright62,WKSTN-U1066,notepad.exe,PROCESS_START,7.9,360
EP022711,2026-06-01 12:36:00,U1056,anthony.clark,WKSTN-U1056	,Zoom,PROCESS_START,20.5,337
EP001630,2026-06-01 12:27:00,U1005,robert.robinson,WKSTN-U1005,Outlook,PROCESS_START,17.6,477
EP005981,2026-06-01 12:39:00,U1016,patricia.thomas,WKSTN-U1016,notepad.exe,PROCESS_START,25.0,271
EP038584,2026-06-01 12:31:00,U1094,elizabeth.lewis69,WKSTN-U1094,Slack,PROCESS_START,12.5,621
EP004324,2026-06-01 12:32:00,U1012,LINDA.MARTINEZ,WKSTN-U1012,teams.exe,PROCESS_START,19.7,399
EP034541,2026-06-01 12:48:00,U1085,barbara.walker67,WKSTN-U1085,Terminal,PROCESS_START,8.3,786
EP007382,2026-06-01 12:51:00,U1019,donna.anderson,WKSTN-U1019,Chrome,PROCESS_START,4.5,263
EP022322,2026-06-01 12:55:00,U1055,patricia.wilson54,WKSTN-U1055,explorer.exe,PROCESS_START,32.6,187
EP024685,2026-06-01 12:54:00,U1061,jessica.rodriguez,WKSTN-U1061,Salesforce,PROCESS_START,4.6,323
EP021493,2026-06-01 12:49:00,U1053,john.jackson31,WKSTN-U1053,chrome.exe,PROCESS_START,11.5,138
EP009618,2026-06-01 13:10:00,U1024,emily.miller,WKSTN-U1024,Jenkins,PROCESS_START,27.9,540
EP000007,2026-06-01 13:12:00,U1001,linda.johnson95,WKSTN-U1001,notepad.exe,PROCESS_START,20.5,796
EP035869,2026-06-01 12:54:00,U1088,andrew.smith85,WKSTN-U1088,Chrome,PROCESS_START,6.8,624
EP040983,2026-06-01 12:49:00,U1100,daniel.brown38,WKSTN-U1100,Zoom,PROCESS_START,1.1,203
