event_id,timestamp,user_id,username,file_path,action,file_size_kb,device,is_sensitive_location
FILE011864,2026-06-01 09:34:00,U1029,michelle.garcia54,/shared/eng/design_docs/notes_586.pdf,READ,2614,WKSTN-U1029,False
FILE036781,2026-06-01 09:30:00,U1090,mary.hill,/shared/it/credentials_vault/data_925.xlsx,READ,392,WKSTN-U1090,True
FILE006434,2026-06-01 09:51:00,U1017,emily.hernandez34,/shared/eng/design_docs/summary_837.zip,READ,3008,WKSTN-U1017,False
FILE004332,2026-06-01 09:46:00,U1012,linda.martinez,/shared/finance/payroll/report_433.zip,WRITE,1880,WKSTN-U1012,True
FILE015940,2026-06-01 09:29:00,U1039,mark.thomas,/shared/hr/recruitment/plan_410.pdf,WRITE,2950,WKSTN-U1039,False
FILE012743,2026-06-01 09:34:00,U1031,,/shared/hr/policies/notes_395.zip,WRITE,1366,WKSTN-U1031,False
FILE023503,2026-06-01 09:35:00,U1058,jennifer.ramirez18,/shared/sales/pricing/notes_54.pptx,WRITE,2416,WKSTN-U1058,False
FILE026746,2026-06-01 09:34:00,U1066,michelle.wright62,/shared/legal/contracts/report_449.zip,READ,960,WKSTN-U1066,False
FILE020714,2026-06-01 09:26:00,U1051,sandra.king72,/shared/sales/contracts/plan_894.xlsx,READ,1137,WKSTN-U1051,False
FILE015121,2026-06-01 09:44:00,U1037,robert.martin,/shared/hr/policies/report_770.xlsx,READ,56,WKSTN-U1037,False
FILE032336,2026-06-01 09:41:00,U1080,joseph.jackson91,/shared/it/backups/notes_891.docx,DOWNLOAD,4216,WKSTN-U1080,False
FILE024698,2026-06-01 09:27:00,U1061,JESSICA.RODRIGUEZ,/shared/sales/contracts/plan_311.csv,READ,4879,WKSTN-U1061,False
FILE029544,2026-06-01 09:29:00,U1073,michael.gonzalez,/shared/legal/contracts/data_361.xlsx,READ,2798,WKSTN-U1073,False
FILE007386,2026-06-01 09:43:00,U1019,donna.anderson,/shared/eng/source_code/summary_356.xlsx,READ,,WKSTN-U1019,False
FILE010512,2026-06-01 09:48:00,U1026,elizabeth.gonzalez,/shared/eng/design_docs/data_973.pptx,READ,1955,WKSTN-U1026,False
FILE025911,2026-06-01 09:42:00,U1064,matthew.wright55,/shared/legal/contracts/report_911.pptx,WRITE,3506,WKSTN-U1064,False
FILE015941,2026-06-01 09:48:00,U1039,mark.thomas,/shared/hr/recruitment/report_826.pptx,READ,2159,WKSTN-U1039,False
FILE018721,2026-06-01 09:50:00,U1046,michelle.torres39,/shared/hr/recruitment/summary_705.zip,WRITE,4326,WKSTN-U1046,False
FILE008273,2026-06-01 10:08:00,U1021,jessica.walker,/shared/eng/ci_configs/data_190.pdf,READ,3867,WKSTN-U1021,False
FILE003953,2026-06-01 10:24:00,U1011,donna.ramirez75,/shared/finance/payroll/report_218.docx,WRITE,1036,WKSTN-U1011,True
FILE027894,2026-06-01 10:28:00,U1069,jessica.clark,/shared/legal/compliance/notes_470.csv,READ,1896,WKSTN-U1069,False
FILE040621,2026-06-01 10:12:00,U1099,joseph.garcia	,/shared/exec/board_docs/notes_316.docx,DOWNLOAD,165,WKSTN-U1099,True
FILE015118,2026-06-01 09:54:00,U1037,robert.martin,/shared/hr/employee_records/data_629.zip,WRITE,1663,WKSTN-U1037,True
FILE023115,2026-06-01 09:55:00,U1057,NANCY.SANCHEZ,/shared/sales/pricing/summary_526.pdf,READ,983,WKSTN-U1057,False
FILE011439,2026-06-01 09:56:00,U1028,john.hill,/shared/eng/design_docs/data_464.docx,READ,4083,,False
FILE013559,2026-06-01 10:16:00,U1033,linda.miller,/shared/hr/policies/summary_631.zip,READ,1945,WKSTN-U1033,False
FILE003181,2026-06-01 09:59:00,U1009,daniel.brown,/shared/finance/budgets/plan_818.pptx,DOWNLOAD,1201,WKSTN-U1009,False
FILE024307,2026-06-01 10:14:00,U1060,matthew.anderson,/shared/sales/leads/data_153.xlsx,WRITE,,WKSTN-U1060,False
FILE037703,2026-06-01 09:57:00,U1092,steven.thomas,/shared/it/credentials_vault/data_825.pptx,READ,2655,WKSTN-U1092,True
FILE034983,2026-06-01 10:10:00,U1086,steven.thompson53,/shared/it/network_configs/report_741.csv,WRITE,3590,WKSTN-U1086,False
FILE031115,2026-06-01 10:22:00,U1077,kimberly.harris58,/shared/legal/contracts/data_484.xlsx,READ,3384,WKSTN-U1077,False
FILE029134,2026-06-01 09:59:00,U1072,  kenneth.lopez ,/shared/legal/case_files/report_864.pptx,READ,4127,WKSTN-U1072,True
FILE010958,2026-06-01 09:56:00,U1027,patricia.brown75,/shared/eng/design_docs/plan_833.zip,DOWNLOAD,205,WKSTN-U1027,False
FILE038149,2026-06-01 10:16:00,U1093,sarah.clark44,/shared/it/network_configs/plan_853.csv,READ,3521,WKSTN-U1093,False
FILE027891,2026-06-01 09:55:00,U1069,jessica.clark,/shared/legal/contracts/notes_361.xlsx,READ,284,WKSTN-U1069,False
FILE008275,2026-06-01 10:13:00,U1021,jessica.walker,/shared/eng/ci_configs/notes_303.docx,READ,3416,WKSTN-U1021,False
FILE026301,2026-06-01 10:22:00,U1065,michael.ramirez47,/shared/legal/compliance/report_830.zip,READ,2602,WKSTN-U1065,False
FILE023116,2026-06-01 10:28:00,U1057,nancy.sanchez,/shared/sales/pricing/plan_387.pptx,WRITE,4536,WKSTN-U1057,False
FILE013560,2026-06-01 10:24:00,U1033,linda.miller,/shared/hr/policies/notes_461.csv,WRITE,3806,WKSTN-U1033,False
FILE017121,2026-06-01 09:52:00,U1042,michael.hill56,/shared/hr/recruitment/report_349.pptx	,WRITE,3600,WKSTN-U1042,False
FILE025519,2026-06-01 10:23:00,U1063,john.nguyen,/shared/legal/case_files/data_687.zip,WRITE,2358,WKSTN-U1063,True
FILE030724,2026-06-01 10:04:00,U1076,john.torres,/shared/legal/case_files/report_225.pdf,READ,4132,WKSTN-U1076,True
FILE009175,2026-06-01 10:11:00,U1023,richard.wright,/shared/eng/source_code/notes_782.pdf,READ,1283,WKSTN-U1023,False
FILE020301,2026-06-01 10:57:00,U1050,michael.ramirez,/shared/sales/contracts/plan_386.zip,WRITE,2191,WKSTN-U1050,False
FILE024310,2026-06-01 10:46:00,U1060,matthew.anderson,/shared/sales/contracts/plan_541.xlsx,READ,979,WKSTN-U1060,False
FILE016731,2026-06-01 10:43:00,U1041,matthew.allen52,/shared/hr/policies/notes_211.csv,READ,4045,WKSTN-U1041,False
FILE013150,2026-06-01 10:57:00,U1032,paul.wright91,/shared/hr/policies/data_504.pdf,READ,978,WKSTN-U1032,False
FILE021910,2026-06-01 10:36:00,U1054,anthony.martinez,/shared/sales/leads/summary_899.docx,READ,1340,WKSTN-U1054,False
FILE000015,2026-06-01 10:58:00,U1001,linda.johnson95,/shared/finance/payroll/report_594.pdf,WRITE,758,WKSTN-U1001,True
FILE032775,2026-06-01 10:44:00,U1081,margaret.davis,/shared/it/credentials_vault/data_333.csv	,WRITE,N/A,WKSTN-U1081,True
FILE031916,2026-06-01 10:50:00,U1079,emily.jones,/shared/it/credentials_vault/summary_663.docx,READ,1140,WKSTN-U1079,True
FILE009176,2026-06-01 10:55:00,U1023,richard.wright,/shared/eng/ci_configs/summary_738.zip,WRITE,511,WKSTN-U1023,False
FILE030347,2026-06-01 10:37:00,U1075,steven.lewis,/shared/legal/contracts/notes_604.docx,DOWNLOAD,4048,WKSTN-U1075,False
FILE027123,2026-06-01 10:48:00,U1067,paul.thomas97,/shared/legal/compliance/summary_827.docx,READ,1871,WKSTN-U1067,False
FILE008720,2026-06-01 10:42:00,U1022,sandra.brown,/shared/eng/source_code/notes_91.pdf,DOWNLOAD,3882,WKSTN-U1022,False
FILE017122,2026-06-01 10:42:00,U1042,michael.hill56,/shared/hr/policies/plan_834.pdf,READ,3876,WKSTN-U1042,False
FILE039021,2026-06-01 10:43:00,U1095,richard.thomas74,/shared/exec/board_docs/report_235.pdf,DOWNLOAD,283,WKSTN-U1095,True
FILE003592,2026-06-01 10:51:00,U1010,susan.young51,/shared/finance/budgets/plan_661.pptx,READ,1623,WKSTN-U1010,
FILE011865,2026-06-01 10:50:00,U1029,michelle.garcia54,/shared/eng/design_docs/plan_529.zip,READ,1448,WKSTN-U1029,False
FILE036782,2026-06-01 10:42:00,U1090,mary.hill,/shared/it/backups/report_15.xlsx,READ,,WKSTN-U1090,False
FILE012300,2026-06-01 10:32:00,U1030,betty.rodriguez86,/shared/eng/design_docs/report_83.pptx,DOWNLOAD,2356,WKSTN-U1030,False
FILE036347,2026-06-01 10:32:00,U1089,paul.brown27,/shared/it/credentials_vault/notes_319.csv,READ,2868,WKSTN-U1089,True
FILE016311,2026-06-01 10:54:00,U1040,matthew.martin,/shared/hr/employee_records/plan_232.pdf,READ,3041,WKSTN-U1040,True
FILE003180,2026-06-01 10:32:00,U1009,daniel.brown,/shared/finance/budgets/notes_318.pptx,WRITE,2515,WKSTN-U1009,False
FILE038151,2026-06-01 10:32:00,U1093,sarah.clark44,/shared/it/network_configs/report_104.zip,READ,4462,WKSTN-U1093,False
FILE031507,2026-06-01 11:00:00,U1078,michelle.miller,/shared/legal/case_files/summary_178.pdf,READ,2704,WKSTN-U1078,True
FILE023504,2026-06-01 11:01:00,U1058,jennifer.ramirez18,/shared/sales/leads/summary_8.csv,READ,496,WKSTN-U1058,False
FILE000828,2026-06-01 10:37:00,U1003,kenneth.clark29,/shared/finance/payroll/summary_913.pptx,WRITE,2403,WKSTN-U1003,True
FILE019133,2026-06-01 11:29:00,U1047,,/shared/sales/leads/data_309.docx,READ,2031,WKSTN-U1047,False
FILE002427,2026-06-01 11:13:00,U1007,sarah.robinson82,/shared/finance/reports/plan_811.csv,READ,1415,WKSTN-U1007,False
FILE006931,2026-06-01 11:12:00,U1018,betty.white57,/shared/eng/source_code/data_904.zip,READ,1623,WKSTN-U1018,False
FILE008274,2026-06-01 11:25:00,U1021,jessica.walker,/shared/eng/source_code/summary_106.pdf,READ,3300,WKSTN-U1021,False
FILE017120,2026-06-01 11:04:00,U1042,michael.hill56,/shared/hr/recruitment/data_630.pptx,READ,1569,WKSTN-U1042,False
FILE031116,2026-06-01 11:14:00,U1077,kimberly.harris58,/shared/legal/case_files/summary_289.zip,READ,2479,WKSTN-U1077,True
FILE022721,2026-06-01 11:30:00,U1056,anthony.clark,/shared/sales/leads/data_420.csv	,WRITE,3129,WKSTN-U1056,False
FILE040620,2026-06-01 11:26:00,U1099,joseph.garcia,/shared/exec/strategy/summary_563.pptx,READ,4832,WKSTN-U1099,False
FILE002033,2026-06-01 11:13:00,U1006,george.gonzalez,/shared/finance/payroll/plan_703.zip,WRITE,4238,WKSTN-U1006,True
FILE020304,2026-06-01 11:32:00,U1050,michael.ramirez,/shared/sales/pricing/plan_558.xlsx,READ,2133,WKSTN-U1050,False
FILE026743,2026-06-01 11:27:00,U1066,michelle.wright62,  /shared/legal/case_files/notes_127.csv ,READ,82,WKSTN-U1066,True
FILE013153,2026-06-01 11:22:00,U1032,paul.wright91	,,READ,2247,WKSTN-U1032,True
FILE014343,2026-06-01 11:03:00,U1035,nancy.rodriguez82,/shared/hr/employee_records/plan_442.zip,WRITE,4251,WKSTN-U1035,True
FILE017921,2026-06-01 11:29:00,U1044,,/shared/hr/recruitment/plan_185.pptx,DOWNLOAD,442,WKSTN-U1044,False
FILE022330,2026-06-01 11:17:00,U1055,patricia.wilson54,/shared/sales/leads/data_126.zip,read,2393,WKSTN-U1055	,False
FILE040233,2026-06-01 11:10:00,U1098,  nancy.wright49 ,/shared/exec/mna/summary_629.csv,WRITE,553,WKSTN-U1098,True
FILE010070,2026-06-01 11:20:00,U1025,betty.brown22,/shared/eng/design_docs/notes_184.docx,READ,2992,WKSTN-U1025,False
FILE019548,2026-06-01 11:02:00,U1048,jennifer.thomas87,/shared/sales/leads/plan_976.xlsx,,4258,WKSTN-U1048,False
FILE034553,2026-06-01 11:26:00,U1085,barbara.walker67,/shared/it/network_configs/notes_759.docx,READ,660,WKSTN-U1085,False
FILE034985,2026-06-01 11:33:00,U1086,steven.thompson53,/shared/it/network_configs/plan_120.xlsx,READ,4403,WKSTN-U1086,False
FILE021911,2026-06-01 11:14:00,U1054,anthony.martinez,/shared/sales/contracts/data_230.xlsx,READ,4825,WKSTN-U1054,False
FILE031505,2026-06-01 11:29:00,U1078,michelle.miller,/shared/legal/compliance/notes_968.csv,DOWNLOAD,4892,WKSTN-U1078,False
FILE037702,2026-06-01 11:29:00,U1092,steven.thomas,/shared/it/backups/report_603.pptx,READ,1027,WKSTN-U1092	,False
FILE027893,2026-06-01 11:03:00,U1069,jessica.clark,/shared/legal/contracts/report_991.docx,READ,1635000.0,WKSTN-U1069,False
FILE023890,2026-06-01 11:13:00,U1059,daniel.perez98,,WRITE,2269,WKSTN-U1059,False
FILE020719,2026-06-01 11:58:00,U1051,sandra.king72,/shared/sales/leads/notes_241.docx,WRITE,,WKSTN-U1051,False
FILE027124,2026-06-01 11:47:00,U1067,paul.thomas97,/shared/legal/compliance/plan_827.zip,READ,3742,WKSTN-U1067,False
FILE002808,2026-06-01 11:39:00,U1008,joshua.hernandez,/shared/finance/payroll/plan_360.xlsx,READ,4674,WKSTN-U1008,True
FILE037701,2026-06-01 11:57:00,U1092,STEVEN.THOMAS,/shared/it/credentials_vault/notes_346.docx,WRITE,755,WKSTN-U1092,True
FILE021109,2026-06-01 11:56:00,U1052,paul.taylor,/shared/sales/contracts/data_310.xlsx,READ,2675,WKSTN-U1052,False
FILE039019,2026-06-01 11:51:00,U1095,richard.thomas74,/shared/exec/mna/summary_676.xlsx,READ,3227,WKSTN-U1095,True
FILE031915,2026-06-01 11:51:00,U1079,emily.jones,  /shared/it/backups/summary_443.csv ,READ,3733,WKSTN-U1079,False
FILE017920,2026-06-01 11:34:00,U1044,lisa.ramirez9,/shared/hr/employee_records/data_796.zip,DOWNLOAD,966,WKSTN-U1044,True
FILE027506,2026-06-01 11:35:00,U1068,susan.thompson34,/shared/legal/case_files/summary_535.zip,READ,2317,WKSTN-U1068,True
FILE001250,2026-06-01 11:49:00,U1004,elizabeth.wilson98,/shared/finance/reports/report_926.pdf,READ,108,WKSTN-U1004,False
FILE002034,2026-06-01 11:36:00,U1006,george.gonzalez,/shared/finance/reports/summary_4.zip,DOWNLOAD,2659,WKSTN-U1006,False
FILE013561,2026-06-01 11:53:00,U1033,linda.miller,/shared/hr/recruitment/plan_906.docx,READ,4027,WKSTN-U1033,False
FILE029542,2026-06-01 11:56:00,U1073,michael.gonzalez,/shared/legal/case_files/summary_235.xlsx,READ,3765,WKSTN-U1073,True
FILE017529,2026-06-01 11:48:00,U1043,thomas.williams91,/shared/hr/employee_records/summary_287.zip,WRITE,2512,WKSTN-U1043,True
FILE033204,2026-06-01 11:33:00,U1082,karen.hill96,,WRITE,998,WKSTN-U1082,True
FILE015942,2026-06-01 11:56:00,U1039,mark.thomas,/shared/hr/policies/data_616.pptx,WRITE,379,WKSTN-U1039,False
FILE027126,2026-06-01 11:44:00,U1067,paul.thomas97,/shared/legal/case_files/notes_2.zip,READ,2114,WKSTN-U1067,True
FILE032774,2026-06-01 11:37:00,U1081,margaret.davis,/shared/it/backups/plan_969.zip,WRITE,3298,WKSTN-U1081,False
FILE040989,2026-06-01 12:00:00,U1100,daniel.brown38,/shared/exec/strategy/notes_891.docx,WRITE,1050,WKSTN-U1100,False
FILE013947,2026-06-01 11:49:00,U1034,thomas.allen63,/shared/hr/employee_records/report_142.zip,WRITE,1831,WKSTN-U1034,True
FILE013155,2026-06-01 11:44:00,U1032,paul.wright91,/shared/hr/recruitment/data_354.csv,READ,4844,WKSTN-U1032,False
FILE029133,2026-06-01 11:38:00,U1072,kenneth.lopez,/shared/legal/contracts/plan_314.xlsx,READ,3574,WKSTN-U1072,False
FILE035874,2026-06-01 11:52:00,U1088,andrew.smith85,/shared/it/network_configs/report_337.csv,read,4266,WKSTN-U1088,False
FILE016730,2026-06-01 11:46:00,U1041,matthew.allen52,/shared/hr/recruitment/summary_73.pdf,WRITE,3892,WKSTN-U1041,False
FILE006930,2026-06-01 11:36:00,U1018,betty.white57,/shared/eng/source_code/report_303.zip	,READ,1630,WKSTN-U1018,False
FILE020715,2026-06-01 12:15:00,U1051,sandra.king72,/shared/sales/pricing/data_718.docx,READ,4812,WKSTN-U1051,False
FILE000827,2026-06-01 12:12:00,U1003,kenneth.clark29,/shared/finance/payroll/plan_916.pptx,READ,1237,WKSTN-U1003,True
FILE039414,2026-06-01 12:10:00,U1096,david.allen76,/shared/exec/mna/summary_52.pptx,WRITE,2910,WKSTN-U1096,True
FILE023114,2026-06-01 12:03:00,U1057,nancy.sanchez,/shared/sales/pricing/report_807.xlsx,WRITE,4144,WKSTN-U1057,False
FILE013949,2026-06-01 12:26:00,U1034,thomas.allen63,/shared/hr/employee_records/data_30.pdf,WRITE,4208,WKSTN-U1034,True
FILE004331,2026-06-01 12:14:00,U1012,linda.martinez,,READ,948,WKSTN-U1012,False
FILE011438,2026-06-01 12:17:00,U1028,john.hill,/shared/eng/source_code/data_731.zip,WRITE,1676,WKSTN-U1028,False
FILE038590,2026-06-01 12:21:00,U1094,elizabeth.lewis69,/shared/it/backups/notes_733.pdf,READ,658,WKSTN-U1094,False
FILE012298,2026-06-01 12:12:00,U1030,betty.rodriguez86,/shared/eng/ci_configs/notes_355.zip,READ,201,WKSTN-U1030,False
FILE035875,2026-06-01 12:16:00,U1088,andrew.smith85,/shared/it/credentials_vault/plan_569.zip,READ,71,WKSTN-U1088,True
FILE028739,2026-06-01 12:10:00,U1071,  matthew.robinson35 ,,READ,3490,WKSTN-U1071,False
FILE034083,2026-06-01 12:20:00,U1084,joshua.taylor,/shared/it/backups/data_883.docx,DOWNLOAD,2523,WKSTN-U1084,False
FILE016733,2026-06-01 12:03:00,U1041,matthew.allen52,/shared/hr/policies/report_131.csv,WRITE,3747,WKSTN-U1041,False
FILE034987,2026-06-01 12:27:00,U1086,steven.thompson53,/shared/it/network_configs/notes_648.docx,READ,1252,WKSTN-U1086,False
FILE027122,2026-06-01 12:03:00,U1067,paul.thomas97,/shared/legal/compliance/report_290.zip,READ,4903,WKSTN-U1067,False
FILE009625,2026-06-01 12:05:00,U1024,emily.miller,/shared/eng/design_docs/summary_331.docx,WRITE,505,WKSTN-U1024,False
FILE003952,2026-06-01 12:10:00,U1011,donna.ramirez75,/shared/finance/payroll/summary_489.zip,DOWNLOAD,4350,WKSTN-U1011,True
FILE018321,2026-06-01 12:06:00,U1045,daniel.sanchez90,/shared/hr/recruitment/plan_264.pptx,READ,3497,WKSTN-U1045,False
FILE020302,2026-06-01 12:08:00,U1050,michael.ramirez,/shared/sales/pricing/notes_174.docx,READ,2052,WKSTN-U1050,False
FILE028738,2026-06-01 12:02:00,U1071,matthew.robinson35,/shared/legal/compliance/report_652.pptx	,READ,389,WKSTN-U1071,False
FILE017528,2026-06-01 12:20:00,U1043,thomas.williams91,/shared/hr/recruitment/report_600.zip,READ,1889,WKSTN-U1043,
FILE009173,2026-06-01 12:22:00,U1023,richard.wright,/shared/eng/ci_configs/plan_319.pdf,WRITE,3404,WKSTN-U1023,False
FILE001637,2026-06-01 12:04:00,U1005,robert.robinson,/shared/finance/payroll/report_929.csv,READ,1066,WKSTN-U1005,True
FILE009177,2026-06-01 12:03:00,U1023,richard.wright,/shared/eng/source_code/data_872.pptx,READ,2567,WKSTN-U1023,False
FILE040618,2026-06-01 12:06:00,U1099,joseph.garcia,/shared/exec/strategy/data_35.pptx,READ,2707,WKSTN-U1099,False
FILE029546,2026-06-01 12:51:00,U1073,,/shared/legal/compliance/data_349.xlsx,READ,2045,WKSTN-U1073,False
FILE005984,2026-06-01 12:47:00,U1016,patricia.thomas,/shared/eng/ci_configs/notes_426.csv,READ,658,WKSTN-U1016,False
FILE036346,2026-06-01 12:54:00,U1089,paul.brown27,/shared/it/backups/report_921.csv,WRITE,1206,WKSTN-U1089,False
